"Z","Lat","Lon"
1,-0.004165,34.6095
4,-0.016667,21.4167
3,-0.016667,36.1833
16,-0.033333,30.5333
76,-0.039722,29.8017
2,-0.043795,42.584
1,-0.064484,34.148
2,-0.071338,37.7007
1,-0.074444,30.7853
4,-0.076014,35.3564
3,-0.077222,31.4567
1,-0.079444,30.5242
1,-0.081667,31.7536
10,-0.083333,34.25
2,-0.083536,37.5476
1,-0.087093,18.5554
19,-0.0934,41.4022
2,-0.1,31.1167
1,-0.1,34.5167
20,-0.10221,34.7617
1,-0.111338,32.7365
4,-0.113022,39.5965
2,-0.116667,31.4667
2,-0.117222,14.3806
4,-0.138413,29.6058
15,-0.141667,29.8303
1,-0.142677,36.1391
2,-0.15,29.8167
1,-0.15,35
1,-0.152476,21.6581
4,-0.153889,30.5319
1,-0.154064,35.1988
1,-0.156389,30.0892
22,-0.158373,29.2386
1,-0.166667,31.7569
4,-0.166667,35.7167
10,-0.166667,37.3333
4,-0.17333,35.8638
2,-0.188056,29.8969
1,-0.192778,31.8453
2,-0.196749,35.4685
3,-0.199286,35.5309
1,-0.2,30.5167
3,-0.2,30.8
1,-0.2,34.3333
2,-0.2,36.7333
1,-0.202862,37.8825
1,-0.210929,29.2097
2,-0.211667,31.4678
7,-0.216667,31.5667
2,-0.216667,36.2667
1,-0.222222,15.7381
3,-0.235556,30.8725
6,-0.236449,42.6501
3,-0.236667,30.9611
79,-0.245,30.1239
3,-0.247895,35.7374
54,-0.25,30.1864
1,-0.25,30.3167
2,-0.25,30.9167
3,-0.25,34.9167
1,-0.265584,21.6002
17,-0.266667,30.7167
16,-0.278904,18.0125
1,-0.283333,31.8
1,-0.283333,34.4
32,-0.283333,36.0667
1,-0.298333,31.8058
4,-0.3,30.1
5,-0.304565,29.1387
1,-0.308889,32.225
1,-0.310319,18.969
17,-0.312724,31.7159
2,-0.326389,30.5733
2,-0.333161,37.6459
8,-0.333333,36
4,-0.339444,29.89
3,-0.343889,28.1172
2,-0.35,35.65
2,-0.355791,37.8955
45,-0.35701,25.4319
1,-0.35703,36.093
667,-0.358173,42.5454
20,-0.358917,34.6492
2,-0.366389,31.6044
2,-0.366667,31.8667
1,-0.367438,33.2007
7,-0.367511,29.573
4,-0.367744,35.2831
2,-0.369641,29.1553
3,-0.385461,36.6356
2,-0.39607,25.5877
1,-0.4,25.15
1,-0.4,31.2667
2,-0.403056,31.1572
2,-0.410736,37.0231
1,-0.415997,34.2017
3,-0.416667,31.6667
1,-0.416667,36.8833
2,-0.41741,36.9185
14,-0.420132,36.9476
1,-0.42017,36.87
7,-0.423056,15.7475
3,-0.433333,35.5833
14,-0.433333,36.9667
2,-0.433333,37.2167
1,-0.433333,37.3
1,-0.436944,30.4383
1,-0.440551,35.5218
1,-0.4489,42.4844
1,-0.451389,30.1133
63,-0.453548,39.6401
2,-0.459722,30.4047
1,-0.466667,30.5833
5,-0.4668,30.1168
1,-0.47,30.5961
1,-0.483333,31.4667
6,-0.483333,31.6
2,-0.483333,35.2167
2,-0.483333,36.95
2,-0.484976,37.7362
6,-0.487287,31.8407
1,-0.49499,21.6229
2,-0.5,30.8833
4,-0.5,34.5
2,-0.5,37.3333
3,-0.5,40.25
2,-0.50765,24.2289
24,-0.510279,17.7067
4,-0.527309,34.4571
2,-0.530795,30.5856
14,-0.531115,37.4506
2,-0.533333,31.5833
1,-0.534231,34.7893
3,-0.55,30.2167
4,-0.55,37.0833
3,-0.55,37.3833
19,-0.553453,29.1752
1,-0.565,30.0956
9,-0.565155,36.9609
3,-0.566667,37.05
4,-0.574226,37.4425
1,-0.576584,37.1001
1,-0.582262,35.1903
1,-0.583333,31.5833
7,-0.583333,31.6667
1,-0.583333,36.9667
5,-0.583333,37
1,-0.583333,39
14,-0.585278,30.2114
3,-0.599643,36.007
1,-0.6,21.95
1,-0.6,30.45
1,-0.6,30.65
1,-0.6,37.3667
5,-0.609269,29.1725
2,-0.615556,31.5175
3,-0.616667,34.8333
1,-0.617372,35.2716
2,-0.626178,30.3303
4,-0.627129,35.198
16,-0.627651,36.7083
1,-0.630556,31.5942
50,-0.630583,30.6582
3,-0.6325,31.1083
5,-0.634444,28.8678
3,-0.637509,29.0889
1,-0.641233,37.1896
1,-0.653333,31.6453
1,-0.658889,30.9314
1,-0.666667,29.6
3,-0.666667,29.7
1,-0.666667,34.7
2,-0.666667,36.6
1,-0.666667,37.0174
19,-0.67394,34.7722
25,-0.683333,29.9333
2,-0.683333,30.6
5,-0.683333,36.9667
2,-0.683333,37.0333
5,-0.69077,29.8778
24,-0.699785,29.1718
2,-0.7,29.3667
1,-0.710707,34.8623
6,-0.712149,29.0545
1,-0.716667,34.8167
91,-0.716667,36.4359
4,-0.716667,36.6667
3,-0.716667,37.15
2,-0.72,31.4839
1,-0.727778,29.9553
10,-0.733333,19.2
3,-0.733333,37.05
2,-0.733431,41.6643
1,-0.737577,29.6242
20,-0.744767,26.584
5,-0.75,29.7
1,-0.75,29.73
3,-0.75,34.6667
2,-0.75,34.7167
3,-0.75,34.8333
15,-0.75,37
1,-0.759952,29.2135
1,-0.764416,37.3137
68,-0.765833,29.6533
6,-0.766277,37.167
1,-0.766667,34.6
1,-0.767317,36.3597
2,-0.774175,24.8641
4,-0.779444,29.9619
6,-0.781291,35.3416
6,-0.783333,29.8667
2,-0.783333,37.1333
1,-0.787145,35.2423
6,-0.791101,29.2898
2,-0.793944,34.6424
1,-0.8,30.2833
1,-0.8,37.1833
4,-0.815523,37.3062
2,-0.816667,29.8667
2,-0.816667,31.4833
4,-0.816667,34.55
1,-0.816667,37.0333
3,-0.816667,37.1
32,-0.828458,38.2624
2,-0.833333,31.5333
1,-0.833333,37.0667
15,-0.841111,29.9419
1,-0.85,34.6
1,-0.855448,34.56
1,-0.866667,36.9333
5,-0.879444,30.2642
1,-0.883333,36.8333
1,-0.9,34.7833
1,-0.9,37
878,-0.911667,31.7658
1,-0.916667,30.1333
4,-0.916667,31.7167
2,-0.916667,35.4167
1,-0.919722,15.6536
1,-0.933038,36.5758
18,-0.933333,29.9
2,-0.933333,34.1333
1,-0.934167,14.835
1,-0.934351,38.06
3,-0.9405,41.1953
6,-0.94734,34.4495
15,-0.95,21.0333
7,-0.95,28.6333
2,-0.95,30.3333
3,-0.95,31.6667
1,-0.95,36.9333
5,-0.95,37.1
29,-0.9575,29.7897
2,-0.958056,31.3939
13,-0.966667,29.6
1,-0.966667,34.4
1,-0.977144,29.0621
5,-0.983333,29.0667
1,-0.983333,36.6333
6,-1.00769,34.8806
7,-1.01979,36.5852
9,-1.02093,36.8949
2,-1.03333,29.75
1,-1.03333,36.8333
1,-1.03471,41.4976
6,-1.04722,36.9021
2,-1.05,28.9
2,-1.05,36.85
1,-1.05,39.8167
3,-1.0625,30.4451
1,-1.06343,34.4731
1,-1.06667,18.2667
1,-1.06694,30.3844
7,-1.07829,35.8601
1,-1.08333,30.0333
12,-1.08333,34.4333
2,-1.08333,36.8333
1,-1.08333,37.0833
13,-1.08389,30.2017
8,-1.0925,30.1189
2,-1.1,36.65
5,-1.11667,29.0333
1,-1.11921,30.4486
3,-1.11944,30.1239
2,-1.13333,20.5333
8,-1.13333,29.9
3,-1.13694,41.2174
2,-1.14523,41.1965
2,-1.1484,30.3196
1,-1.15,36.8
2,-1.15,41.0667
6,-1.15306,30.2133
2,-1.16667,29.8333
2,-1.16667,36.65
1,-1.16667,36.7333
4,-1.16667,36.8167
14,-1.16667,36.8333
2,-1.16897,36.6691
1,-1.17307,23.2436
1,-1.18333,30.1333
3,-1.18333,36.9167
177,-1.18417,29.4489
3,-1.2,29.6167
4,-1.2,39.9833
1,-1.2,40.7833
8,-1.20058,36.6571
5,-1.20662,29.6811
1,-1.20667,28.7436
2,-1.20773,29.9859
4,-1.2128,30.2983
1,-1.21667,17.3833
1,-1.21667,36.8333
15,-1.21667,37.0333
4,-1.21714,36.7665
6,-1.21933,41.8374
30,-1.2305,30.3473
2,-1.23333,29.5167
1,-1.23333,29.9667
15,-1.24576,36.6633
8,-1.25,28.75
3,-1.25,35.75
1,-1.25,36.8333
8,-1.25,36.9
5,-1.25891,36.7278
2,-1.25944,30.9506
1,-1.26251,37.3543
2,-1.26444,28.3769
7,-1.26667,29.3833
2,-1.26667,30.0833
7,-1.26667,36.8
15,-1.26667,36.85
1,-1.27306,29.5489
5,-1.28333,29.55
8,-1.28333,29.6667
5,-1.28333,36.7333
4106,-1.28333,36.8167
2,-1.28333,36.8333
5,-1.28333,36.85
40,-1.28333,36.8667
27,-1.28444,29.7419
4,-1.29366,39.7047
1,-1.2952,30.3226
2,-1.29792,37.3471
2,-1.29889,30.2183
31,-1.3,28.5833
309,-1.3,29.6167
1,-1.3,29.7667
1,-1.3,36.7667
5,-1.3,36.85
1,-1.3,36.8667
10,-1.3,36.9167
1,-1.3,37.2167
3,-1.3,39.6667
1,-1.31361,29.6797
45,-1.31667,29.6
3,-1.31667,29.9667
1,-1.31667,30.35
2,-1.31667,36.7833
1,-1.31667,36.8333
1,-1.31917,28.6858
7,-1.32111,29.3728
110,-1.32611,30.0039
1,-1.3308,29.8196
1,-1.33333,30.0167
2,-1.33333,30.1333
4,-1.335,29.0367
1,-1.33556,30.715
87,-1.34389,29.3594
1,-1.34806,29.9983
15,-1.3531,29.7425
