GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
224094381,201211,020,1,UG,0.315556,32.5656,
224100131,201211,040,1,CG,-4.32972,15.315,
224100130,201211,040,1,CG,-4.32972,15.315,
224100128,201211,020,1,CF,-3.42722,12.3961,
224100127,201211,020,1,CG,-1.67917,29.2228,
224100126,201211,013,1,CG,-1.67917,29.2228,
224099927,201211,194,4,NI,7.41278,3.78472,
224099926,201211,190,4,NI,10.5231,7.44028,
224099925,201211,190,4,NI,10.8183,7.57466,
224094435,201211,020,1,CF,-3.42722,12.3961,
224100132,201211,040,1,CG,-4.32972,15.315,
224094380,201211,020,1,UG,0.315556,32.5656,
224092076,201211,190,4,SU,13.3267,24.8534,
224091964,201211,190,4,CG,-4.32972,15.315,
224091963,201211,190,4,UG,0.315556,32.5656,
224091958,201211,043,1,NI,9.09944,7.40806,
224091957,201211,042,1,UG,1.0,32.0,
224091955,201211,020,1,CF,-3.42722,12.3961,
224091954,201211,020,1,CG,-1.67917,29.2228,
224100141,201211,192,4,RW,-2.1741,29.2933,
224100239,201211,040,1,CF,-1.0,15.0,
224100216,201211,180,4,CG,-1.61361,29.0231,
224100196,201211,040,1,CF,-1.0,15.0,
224100195,201211,040,1,UG,0.315556,32.5656,
224100194,201211,040,1,UG,0.315556,32.5656,
224100181,201211,046,1,UG,-0.911667,31.7658,
224100180,201211,046,1,UG,0.315556,32.5656,
224100142,201211,192,4,CF,-1.0,15.0,
224091952,201211,014,1,CF,-3.42722,12.3961,
224100140,201211,190,4,UG,-0.911667,31.7658,
224100139,201211,050,1,CF,-1.0,15.0,
224100138,201211,050,1,UG,-0.911667,31.7658,
224100137,201211,050,1,CF,-3.42722,12.3961,
224100136,201211,046,1,CG,-1.67917,29.2228,
224100135,201211,042,1,UG,-0.911667,31.7658,
224100134,201211,040,1,CF,-3.42722,12.3961,
224100133,201211,040,1,CF,-3.42722,12.3961,
224078306,201211,046,1,UG,0.315556,32.5656,
224078402,201211,020,1,KE,1.0,38.0,
224078401,201211,020,1,RW,-2.1741,29.2933,
224078312,201211,112,3,RW,-2.6195,29.4887,
224078311,201211,112,3,RW,-2.6195,29.4887,
224078310,201211,112,3,RW,-2.6195,29.4887,
224078309,201211,1056,3,UG,-0.911667,31.7658,
224078308,201211,046,1,CF,-3.42722,12.3961,
224078307,201211,046,1,CG,-1.67917,29.2228,
224078403,201211,0256,1,UG,0.315556,32.5656,
224078305,201211,043,1,CF,-1.0,15.0,
224078304,201211,043,1,CF,-4.25917,15.2847,
224078303,201211,043,1,UG,0.315556,32.5656,
224078302,201211,0256,1,CF,-1.0,15.0,
224078301,201211,0256,1,CG,-1.67917,29.2228,
224078300,201211,0256,1,UG,0.315556,32.5656,
224078299,201211,025,1,UG,0.315556,32.5656,
224078298,201211,025,1,TZ,-6.0,35.0,
224084419,201211,045,1,EG,30.05,31.25,
224091951,201211,014,1,CG,-1.67917,29.2228,
224091949,201211,013,1,CF,-3.42722,12.3961,
224091948,201211,013,1,CG,-1.67917,29.2228,
224091892,201211,138,3,EG,30.05,31.25,
224087446,201211,046,1,MZ,-25.9653,32.5892,
224087445,201211,036,1,MZ,-18.6756,34.0728,
224084451,201211,110,3,LY,32.8925,13.18,
224084424,201211,046,1,EG,27.0,30.0,
224100274,201211,040,1,UG,0.315556,32.5656,
224084418,201211,045,1,EG,31.1981,29.9192,
224078475,201211,080,2,UG,-0.911667,31.7658,
224078474,201211,080,2,UG,0.315556,32.5656,
224078473,201211,080,2,UG,-0.911667,31.7658,
224078407,201211,046,1,CF,-3.42722,12.3961,
224078406,201211,046,1,UG,0.315556,32.5656,
224078405,201211,036,1,UG,0.315556,32.5656,
224078404,201211,0256,1,CG,-1.67917,29.2228,
224112322,201211,020,1,RW,-2.1741,29.2933,
224112340,201211,190,4,RW,-2.1741,29.2933,
224112339,201211,190,4,CG,-4.32972,15.315,
224112338,201211,190,4,UG,0.315556,32.5656,
224112336,201211,130,3,CF,-1.0,15.0,
224112335,201211,130,3,CF,-1.0,15.0,
224112326,201211,050,1,CF,-3.42722,12.3961,
224112325,201211,046,1,CF,-3.42722,12.3961,
224112324,201211,046,1,UG,0.315556,32.5656,
224112323,201211,020,1,CF,-1.0,15.0,
224112341,201211,190,4,CF,-1.0,15.0,
224106680,201211,013,1,EG,30.05,31.25,
224106679,201211,010,1,EG,27.0,30.0,
224106325,201211,182,4,EG,30.05,31.25,
224106323,201211,100,3,EG,31.2565,32.2841,
224106322,201211,100,3,EG,30.05,31.25,
224106320,201211,051,1,EG,31.2565,32.2841,
224106319,201211,051,1,EG,30.05,31.25,
224106318,201211,051,1,EG,31.1981,29.9192,
224114590,201211,0256,1,RW,-2.6195,29.4887,
224117675,201211,040,1,EG,30.05,31.25,
224117671,201211,040,1,EG,31.2565,32.2841,
224117670,201211,040,1,EG,31.2565,32.2841,
224117665,201211,0356,1,EG,30.05,31.25,
224117664,201211,030,1,EG,27.0,30.0,
224117647,201211,010,1,EG,31.2878,34.2369,
224114592,201211,100,3,CG,0.0,25.0,
224114591,201211,060,2,CF,-3.42722,12.3961,
224106317,201211,051,1,EG,30.05,31.25,
224114266,201211,027,1,RW,-2.6195,29.4887,
224114263,201211,025,1,RW,-2.1741,29.2933,
224114261,201211,020,1,UG,0.315556,32.5656,
224113247,201211,130,3,UG,-0.383333,31.35,
224113246,201211,130,3,UG,-0.630583,30.6582,
224113245,201211,130,3,UG,-0.630583,30.6582,
224112343,201211,190,4,RW,-2.0,30.0,
224112342,201211,190,4,CF,-1.0,15.0,
224100313,201211,046,1,CG,-4.32972,15.315,
224100357,201211,046,1,CF,-3.42722,12.3961,
224100347,201211,040,1,CF,-3.42722,12.3961,
224100320,201211,050,1,CF,-3.42722,12.3961,
224100319,201211,046,1,SF,-29.0,24.0,
224100317,201211,046,1,UG,-0.911667,31.7658,
224100316,201211,046,1,CF,-3.42722,12.3961,
224100315,201211,046,1,CG,-1.7075,29.0181,
224100314,201211,046,1,CG,-1.7075,29.0181,
224100358,201211,046,1,UG,-0.911667,31.7658,
224100312,201211,046,1,UG,0.315556,32.5656,
224100311,201211,040,1,CF,-1.0,15.0,
224100310,201211,040,1,CF,-3.42722,12.3961,
224100309,201211,020,1,CF,-1.0,15.0,
224100308,201211,020,1,CF,-1.0,15.0,
224100307,201211,020,1,CF,-3.42722,12.3961,
224100306,201211,013,1,CF,-3.42722,12.3961,
224100275,201211,040,1,UG,0.315556,32.5656,
224106300,201211,042,1,EG,31.2878,34.2369,
224106316,201211,051,1,EG,31.2565,32.2841,
224106310,201211,043,1,EG,27.0,30.0,
224106309,201211,042,1,EG,27.0,30.0,
224106307,201211,013,1,EG,30.05,31.25,
224106306,201211,110,3,EG,27.0,30.0,
224106305,201211,051,1,EG,27.0,30.0,
224106304,201211,051,1,EG,30.05,31.25,
224106301,201211,045,1,EG,30.05,31.25,
224078297,201211,025,1,UG,0.315556,32.5656,
224106299,201211,042,1,EG,31.2878,34.2369,
224106298,201211,042,1,EG,30.05,31.25,
224106296,201211,040,1,EG,30.05,31.25,
224106295,201211,010,1,EG,27.0,30.0,
224106293,201211,010,1,EG,30.05,31.25,
224106292,201211,010,1,EG,30.05,31.25,
224101797,201211,190,4,EG,30.05,31.25,
224100359,201211,046,1,CF,-3.42722,12.3961,
224055555,201211,046,1,UG,-0.911667,31.7658,
224061022,201211,043,1,EG,30.05,31.25,
224061018,201211,040,1,EG,30.05,31.25,
224057872,201211,1124,3,CF,-1.0,15.0,
224057871,201211,111,3,CF,-1.0,15.0,
224057870,201211,010,1,CF,-1.0,15.0,
224055560,201211,0356,1,CF,-3.42722,12.3961,
224055559,201211,190,4,RW,-2.0,30.0,
224055558,201211,190,4,CF,-1.0,15.0,
224055557,201211,190,4,CF,-1.0,15.0,
224061024,201211,043,1,EG,27.0,30.0,
224055554,201211,046,1,UG,0.315556,32.5656,
224055552,201211,036,1,UG,-0.911667,31.7658,
224055515,201211,0871,2,EG,30.05,31.25,
224055514,201211,0871,2,EG,30.05,31.25,
224055511,201211,045,1,EG,30.05,31.25,
224055510,201211,045,1,EG,30.05,31.25,
224055248,201211,046,1,MZ,-25.9653,32.5892,
224055247,201211,040,1,MZ,-18.6756,34.0728,
224061074,201211,190,4,EG,30.05,31.25,
224067216,201211,138,3,CF,-3.42722,12.3961,
224067215,201211,074,2,RW,-2.6195,29.4887,
224067213,201211,013,1,UG,-0.911667,31.7658,
224067212,201211,013,1,RW,-2.1741,29.2933,
224066250,201211,071,2,SL,8.5,-11.5,
224063164,201211,020,1,KE,1.0,38.0,
224061096,201211,010,1,EG,27.0,30.0,
224061084,201211,194,4,EG,30.05,31.25,
224055246,201211,040,1,MZ,-18.6756,34.0728,
224061058,201211,0871,2,EG,30.05,31.25,
224061040,201211,046,1,EG,27.0,30.0,
224061039,201211,046,1,EG,27.0,30.0,
224061036,201211,046,1,EG,30.05,31.25,
224061034,201211,046,1,EG,30.05,31.25,
224061032,201211,046,1,EG,30.05,31.25,
224061027,201211,046,1,EG,30.05,31.25,
224061025,201211,045,1,EG,30.05,31.25,
224049629,201211,051,1,EG,30.05,31.25,
224049651,201211,051,1,EG,30.05,31.25,
224049650,201211,051,1,EG,31.1981,29.9192,
224049649,201211,051,1,EG,30.05,31.25,
224049648,201211,040,1,EG,27.0,30.0,
224049637,201211,013,1,EG,27.0,30.0,
224049635,201211,1246,3,EG,30.05,31.25,
224049633,201211,1056,3,EG,30.05,31.25,
224049630,201211,051,1,EG,30.0445,31.2332,
224049652,201211,051,1,EG,31.2565,32.2841,
224049627,201211,051,1,EG,30.05,31.25,
224049625,201211,045,1,EG,27.0,30.0,
224049624,201211,045,1,EG,27.0,30.0,
224049623,201211,045,1,EG,27.0,30.0,
224049621,201211,045,1,EG,27.0,30.0,
224049618,201211,045,1,EG,30.05,31.25,
224049616,201211,045,1,EG,30.05,31.25,
224049613,201211,040,1,EG,30.05,31.25,
224049662,201211,182,4,EG,31.2565,32.2841,
224055245,201211,040,1,MZ,-25.9653,32.5892,
224055244,201211,036,1,MZ,-18.6756,34.0728,
224055243,201211,036,1,MZ,-18.6756,34.0728,
224055242,201211,036,1,MZ,-25.9653,32.5892,
224055241,201211,014,1,MZ,-18.6756,34.0728,
224050201,201211,020,1,MZ,-25.9653,32.5892,
224050200,201211,020,1,MZ,-10.7067,40.6328,
224050119,201211,013,1,EG,27.0,30.0,
224067217,201211,190,4,SU,14.0667,24.35,
224049661,201211,182,4,EG,30.05,31.25,
224049660,201211,182,4,EG,30.05,31.25,
224049659,201211,182,4,EG,31.1981,29.9192,
224049657,201211,100,3,EG,31.2565,32.2841,
224049656,201211,100,3,EG,30.05,31.25,
224049655,201211,100,3,EG,31.1981,29.9192,
224049654,201211,051,1,EG,30.0445,31.2332,
224049653,201211,051,1,EG,31.2565,32.2841,
224075277,201211,010,1,RW,-2.0,30.0,
224075505,201211,190,4,SU,13.0,25.0,
224075504,201211,111,3,SU,11.15,34.1,
224075503,201211,051,1,SU,11.15,34.1,
224075502,201211,012,1,SU,13.0,25.0,
224075501,201211,012,1,SU,13.0,25.0,
224075500,201211,012,1,SU,13.65,24.0833,
224075499,201211,012,1,SU,13.0,25.0,
