GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
154078716,200901,020,1,EG,27.0,30.0,
154078002,200901,050,1,EG,30.05,31.25,
154078005,200901,050,1,EG,30.05,31.25,
154078020,200901,090,2,EG,30.05,31.25,
154078026,200901,110,3,UG,1.0,32.0,
154078034,200901,1123,3,EG,27.0,30.0,
154078038,200901,120,3,EG,27.0,30.0,
154078040,200901,120,3,EG,27.0,30.0,
154078070,200901,190,4,EG,30.0391,31.2374,
154078073,200901,190,4,EG,30.05,31.25,
154078082,200901,194,4,EG,30.05,31.25,
154078085,200901,194,4,EG,30.0391,31.2374,
154078104,200901,060,2,EG,30.05,31.25,
154078105,200901,100,3,EG,30.05,31.25,
154078162,200901,043,1,EG,30.05,31.25,
154078163,200901,043,1,EG,30.05,31.25,
154077995,200901,046,1,EG,30.05,31.25,
154080755,200901,111,3,KE,-1.28333,36.8167,
154080772,200901,111,3,KE,-1.28333,36.8167,
154082278,200901,060,2,LY,32.8925,13.18,
154082279,200901,060,2,SL,8.49,-13.2342,
154082305,200901,060,2,LY,32.8925,13.18,
154082306,200901,060,2,LI,6.5,-9.5,
154082811,200901,043,1,NI,10.0,8.0,
154084412,200901,191,4,EG,27.0,30.0,
154085408,200901,100,3,EG,30.05,31.25,
154085414,200901,194,4,EG,30.05,31.25,
154087391,200901,192,4,RW,-2.0015,29.7976,
154088254,200901,191,4,EG,27.0,30.0,
154088256,200901,010,1,RW,-2.0,30.0,
154090949,200901,020,1,EG,27.0,30.0,
154071167,200901,046,1,EG,30.05,31.25,
154065315,200901,036,1,EG,30.05,31.25,
154065316,200901,040,1,EG,30.05,31.25,
154065317,200901,040,1,EG,30.05,31.25,
154065318,200901,046,1,EG,30.05,31.25,
154065545,200901,020,1,EG,27.0,30.0,
154065546,200901,036,1,EG,30.05,31.25,
154065548,200901,036,1,EG,30.0771,31.2859,
154065553,200901,036,1,EG,30.05,31.25,
154065554,200901,036,1,EG,30.05,31.25,
154065570,200901,043,1,EG,27.0,30.0,
154065571,200901,046,1,EG,30.05,31.25,
154065572,200901,046,1,EG,27.0,30.0,
154065656,200901,030,1,ER,14.6983,39.4292,
154065657,200901,0312,1,ER,14.6983,39.4292,
154090953,200901,040,1,EG,30.05,31.25,
154071184,200901,046,1,KE,-1.28333,36.8167,
154071450,200901,046,1,UG,3.8,32.55,
154071451,200901,046,1,UG,3.8,32.55,
154072645,200901,120,3,EG,27.0,30.0,
154073827,200901,045,1,KE,-1.28333,36.8167,
154075052,200901,043,1,EG,27.0,30.0,
154075180,200901,046,1,EG,27.0,30.0,
154077951,200901,012,1,EG,30.05,31.25,
154077968,200901,020,1,EG,27.0,30.0,
154077975,200901,0256,1,EG,30.05,31.25,
154077976,200901,0256,1,EG,30.05,31.25,
154077990,200901,045,1,EG,30.05,31.25,
154077992,200901,046,1,EG,30.05,31.25,
154077993,200901,046,1,EG,30.05,31.25,
233598875,200901,112,3,ZI,-17.8178,31.0447,
154096284,200901,190,4,UG,3.8,32.55,
154096285,200901,190,4,UG,3.8,32.55,
154096286,200901,190,4,SU,15.0,30.0,
154096325,200901,057,1,UG,1.0,32.0,
154096328,200901,190,4,SU,15.0,30.0,
154096365,200901,057,1,UG,1.0,32.0,
154096418,200901,190,4,EG,30.0391,31.2374,
154096420,200901,194,4,EG,30.0391,31.2374,
154102540,200901,138,3,SU,15.5881,32.5342,
154102541,200901,138,3,SU,14.2,24.6667,
154102542,200901,195,4,SU,15.5881,32.5342,
154102543,200901,195,4,SU,14.2,24.6667,
233598686,200901,0241,1,CG,-5.98246,17.8163,
233598687,200901,0241,1,KE,-1.28333,36.8167,
233598688,200901,0831,2,KE,-1.28333,36.8167,
154094692,200901,190,4,SU,15.0,30.0,
233599304,200901,190,4,CG,-1.18417,29.4489,
233599305,200901,110,3,RW,-1.95361,30.0606,
233599306,200901,110,3,CG,-4.32972,15.315,
233599307,200901,110,3,CG,-4.72497,28.6314,
233599327,200901,075,2,CG,-4.72497,28.6314,
233599815,200901,036,1,EG,30.05,31.25,
233599817,200901,036,1,EG,30.05,31.25,
233599819,200901,040,1,EG,30.05,31.25,
233599820,200901,040,1,EG,30.05,31.25,
233599821,200901,045,1,EG,30.05,31.25,
233599822,200901,046,1,EG,30.05,31.25,
233599824,200901,125,3,EG,30.05,31.25,
233599866,200901,036,1,EG,30.05,31.25,
233601185,200901,010,1,EG,30.05,31.25,
154093830,200901,040,1,RW,-1.95361,30.0606,
154090954,200901,040,1,EG,27.0,30.0,
154090958,200901,040,1,EG,27.0,30.0,
154090960,200901,045,1,EG,30.05,31.25,
154090961,200901,046,1,EG,30.05,31.25,
154090962,200901,046,1,EG,30.05,31.25,
154090991,200901,194,4,EG,30.05,31.25,
154091226,200901,020,1,EG,30.0445,31.2332,
154092195,200901,100,3,CG,-4.32972,15.315,
154092196,200901,100,3,KE,-1.28333,36.8167,
154092197,200901,100,3,KE,-1.28333,36.8167,
154093794,200901,030,1,RW,-2.0015,29.7976,
154093795,200901,040,1,RW,-1.95361,30.0606,
154093796,200901,042,1,RW,-1.95361,30.0606,
154093797,200901,190,4,RW,-2.0015,29.7976,
154065313,200901,036,1,EG,30.05,31.25,
154093831,200901,042,1,RW,-1.95361,30.0606,
154094098,200901,090,2,SU,15.5881,32.5342,
154094099,200901,112,3,SU,15.5881,32.5342,
154094100,200901,172,4,SU,15.5881,32.5342,
154094124,200901,190,4,UG,2.235,32.3849,
154094125,200901,190,4,SU,15.0,30.0,
154094126,200901,190,4,UG,1.0,32.0,
154094127,200901,190,4,UG,1.0,32.0,
154094512,200901,111,3,ET,4.50191,42.6853,
154094528,200901,020,1,SO,9.0,46.0,
154094529,200901,020,1,SO,9.0,49.0,
154094530,200901,020,1,SO,9.0,49.0,
154094678,200901,190,4,UG,3.8,32.55,
154094679,200901,190,4,SU,15.0,30.0,
233598094,200901,100,3,TZ,-6.0,35.0,
233594949,200901,046,1,EG,31.2878,34.2369,
233594950,200901,046,1,EG,30.0445,31.2332,
233594951,200901,046,1,EG,30.0445,31.2332,
233594952,200901,046,1,EG,30.05,31.25,
233594992,200901,046,1,EG,30.05,31.25,
233596242,200901,0233,1,EG,30.05,31.25,
233596249,200901,050,1,EG,30.05,31.25,
233596706,200901,080,2,SO,2.80257,44.0781,
233596707,200901,080,2,SO,3.11383,43.6498,
233596708,200901,080,2,SO,2.06667,45.3667,
233597946,200901,0841,2,SO,3.11383,43.6498,
233597947,200901,0841,2,SO,2.06667,45.3667,
233597948,200901,181,4,SO,2.06667,45.3667,
233598054,200901,040,1,EG,27.0,30.0,
233598056,200901,040,1,EG,27.0,30.0,
233594948,200901,046,1,EG,30.05,31.25,
233598095,200901,190,4,TZ,-6.0,35.0,
233598098,200901,043,1,KE,-1.28333,36.8167,
233598099,200901,190,4,TZ,-6.0,35.0,
233598101,200901,100,3,TZ,-6.0,35.0,
233598164,200901,042,1,UG,0.315556,32.5656,
233598169,200901,120,3,CT,7.0,21.0,
233598170,200901,190,4,UG,0.315556,32.5656,
233598171,200901,190,4,CT,7.0,21.0,
233598172,200901,120,3,UG,0.315556,32.5656,
154051036,200901,0241,1,CG,-4.32972,15.315,
154051037,200901,0241,1,KE,-1.28333,36.8167,
154051038,200901,0241,1,KE,-1.28333,36.8167,
154051039,200901,0831,2,CG,-4.32972,15.315,
154053533,200901,040,1,EG,27.0,30.0,
233594165,200901,112,3,ZI,-17.8178,31.0447,
154042046,200901,046,1,UG,0.315556,32.5656,
154042047,200901,046,1,SU,15.0,30.0,
154042048,200901,046,1,SU,15.0,30.0,
154042065,200901,181,4,UG,0.833333,32.1833,
154042068,200901,110,3,CT,7.0,21.0,
154042069,200901,110,3,UG,1.0,32.0,
154042071,200901,013,1,UG,1.0,32.0,
154042076,200901,010,1,UG,1.0,32.0,
154046875,200901,194,4,EG,27.0,30.0,
154046882,200901,051,1,UG,0.741389,30.0417,
154046883,200901,051,1,UG,0.741389,30.0417,
154049014,200901,020,1,EG,30.05,31.25,
154049015,200901,040,1,EG,30.05,31.25,
233594163,200901,042,1,TZ,-6.0,35.0,
154053582,200901,0241,1,CG,-4.32972,15.315,
233594168,200901,190,4,TZ,-6.0,35.0,
233594188,200901,042,1,TZ,-6.0,35.0,
233594433,200901,043,1,CT,4.36667,18.5833,
233594515,200901,161,4,CG,-4.32972,15.315,
233594516,200901,161,4,CG,-1.18417,29.4489,
233594519,200901,060,2,CG,-4.32972,15.315,
233594521,200901,010,1,UG,0.315556,32.5656,
233594938,200901,036,1,EG,30.05,31.25,
233594940,200901,040,1,EG,30.05,31.25,
233594941,200901,040,1,EG,27.0,30.0,
233594943,200901,043,1,EG,30.05,31.25,
233594944,200901,043,1,EG,30.05,31.25,
233594946,200901,045,1,EG,30.05,31.25,
233594947,200901,045,1,EG,30.05,31.25,
154065278,200901,043,1,EG,30.05,31.25,
154065257,200901,036,1,EG,30.05,31.25,
154065258,200901,036,1,EG,30.05,31.25,
154065259,200901,036,1,EG,30.05,31.25,
154065261,200901,036,1,EG,30.05,31.25,
154065262,200901,036,1,EG,30.05,31.25,
154065263,200901,036,1,EG,30.05,31.25,
154065265,200901,036,1,EG,30.05,31.25,
154065266,200901,040,1,EG,30.05,31.25,
154065269,200901,040,1,EG,30.05,31.25,
154065270,200901,040,1,EG,30.05,31.25,
154065271,200901,040,1,EG,30.05,31.25,
154065273,200901,043,1,EG,30.05,31.25,
154065274,200901,043,1,EG,30.05,31.25,
154065276,200901,043,1,EG,30.05,31.25,
154065256,200901,0256,1,EG,30.05,31.25,
154065279,200901,043,1,EG,30.05,31.25,
154065282,200901,045,1,EG,30.05,31.25,
154065283,200901,045,1,EG,30.05,31.25,
154065284,200901,046,1,EG,30.05,31.25,
154065285,200901,046,1,EG,30.05,31.25,
154065288,200901,046,1,EG,30.05,31.25,
154065289,200901,046,1,EG,30.05,31.25,
154065291,200901,046,1,EG,27.8518,34.305,
154065294,200901,046,1,EG,27.0,30.0,
154065295,200901,046,1,EG,27.0,30.0,
154065296,200901,046,1,EG,27.0,30.0,
154065300,200901,050,1,EG,30.05,31.25,
154065302,200901,0871,2,EG,30.05,31.25,
154065311,200901,020,1,EG,30.05,31.25,
154060462,200901,046,1,KE,-1.28333,36.8167,
154053583,200901,0241,1,KE,-1.28333,36.8167,
154053587,200901,057,1,UG,0.315556,32.5656,
154053588,200901,057,1,UG,0.315556,32.5656,
154053590,200901,0831,2,CG,-4.32972,15.315,
154053591,200901,111,3,SO,7.9607,49.8481,
154053592,200901,111,3,SO,-0.358173,42.5454,
154053593,200901,111,3,SO,7.9607,49.8481,
154053594,200901,112,3,ZI,-17.8178,31.0447,
154058601,200901,0214,1,CT,7.0,21.0,
154059893,200901,060,2,KE,-1.28333,36.8167,
154060320,200901,111,3,EG,27.0,30.0,
154060448,200901,100,3,CG,-4.32972,15.315,
154060449,200901,100,3,KE,-1.28333,36.8167,
154060461,200901,046,1,CG,-4.32972,15.315,
233601186,200901,010,1,EG,30.05,31.25,
154060464,200901,190,4,UG,3.8,32.55,
154060465,200901,190,4,SU,15.0,30.0,
154060466,200901,013,1,CG,-4.32972,15.315,
154060467,200901,013,1,KE,-1.28333,36.8167,
154060468,200901,041,1,CG,-4.32972,15.315,
154060469,200901,041,1,KE,-1.28333,36.8167,
154060486,200901,050,1,NI,10.0,8.0,
154060487,200901,130,3,NI,10.0,8.0,
154060488,200901,050,1,NI,10.0,8.0,
154060489,200901,130,3,NI,10.0,8.0,
154065247,200901,020,1,EG,30.05,31.25,
154065251,200901,0256,1,EG,30.05,31.25,
154065252,200901,0256,1,EG,30.05,31.25,
154065254,200901,0256,1,EG,30.05,31.25,
154156124,200901,043,1,EG,31.2878,34.2369,
154144791,200901,016,1,LI,6.31056,-10.8047,
154144792,200901,190,4,LI,6.31056,-10.8047,
154144880,200901,110,3,SL,8.5,-10.3333,
154145628,200901,190,4,AG,28.0,3.0,
154145629,200901,190,4,AG,28.0,3.0,
154148761,200901,072,2,UG,1.0,32.0,
154148763,200901,112,3,RW,-1.95361,30.0606,
154148768,200901,190,4,LI,6.31056,-10.8047,
154151387,200901,192,4,RW,-2.6195,29.4887,
154152521,200901,010,1,RW,-2.6195,29.4887,
154152522,200901,030,1,CT,4.36667,18.5833,
154156106,200901,014,1,EG,30.05,31.25,
154156113,200901,020,1,EG,27.0,30.0,
154156116,200901,030,1,EG,30.05,31.25,
154156123,200901,043,1,EG,30.05,31.25,
154144790,200901,016,1,LI,6.31056,-10.8047,
154156125,200901,046,1,EG,30.05,31.25,
154156126,200901,046,1,EG,30.05,31.25,
154156139,200901,051,1,EG,30.05,31.25,
154156145,200901,120,3,EG,30.05,31.25,
154156155,200901,173,4,EG,30.05,31.25,
154159408,200901,016,1,RW,-1.95361,30.0606,
154159409,200901,016,1,RW,-1.95361,30.0606,
154159410,200901,030,1,RW,-2.6195,29.4887,
154159411,200901,030,1,RW,-2.0015,29.7976,
154159412,200901,030,1,RW,-2.0015,29.7976,
154159413,200901,040,1,RW,-2.1741,29.2933,
154159414,200901,042,1,RW,-1.95361,30.0606,
154159415,200901,071,2,RW,-1.95361,30.0606,
154159416,200901,071,2,RW,-1.95361,30.0606,
154139807,200901,042,1,EG,30.05,31.25,
154131432,200901,046,1,KE,-1.28333,36.8167,
154131433,200901,051,1,LI,6.5,-9.5,
154131651,200901,046,1,UG,3.8,32.55,
154133244,200901,120,3,EG,27.0,30.0,
154134923,200901,045,1,KE,-1.28333,36.8167,
154134924,200901,045,1,KE,-1.28333,36.8167,
154134925,200901,051,1,CG,-4.32972,15.315,
154137234,200901,173,4,EG,30.05,31.25,
154139768,200901,010,1,EG,30.05,31.25,
154139771,200901,010,1,EG,30.05,31.25,
154139782,200901,020,1,EG,27.0,30.0,
154139796,200901,030,1,EG,30.05,31.25,
154139805,200901,042,1,EG,30.05,31.25,
154139806,200901,042,1,EG,30.05,31.25,
154159417,200901,071,2,KE,1.0,38.0,
154139816,200901,050,1,EG,30.05,31.25,
154139817,200901,050,1,EG,30.05,31.25,
154139818,200901,050,1,EG,30.05,31.25,
154139867,200901,1246,3,EG,31.1981,29.9192,
154139876,200901,128,3,LY,25.0,17.0,
154139914,200901,192,4,EG,30.05,31.25,
154139919,200901,193,4,EG,27.0,30.0,
154139927,200901,194,4,EG,27.0,30.0,
154139952,200901,040,1,EG,30.05,31.25,
154139980,200901,195,4,LY,25.0,17.0,
154142897,200901,112,3,LI,6.5,-9.5,
154142898,200901,112,3,LI,6.5,-9.5,
154143011,200901,112,3,LI,6.5,-9.5,
154143447,200901,020,1,KE,-1.28333,36.8167,
233606491,200901,111,3,CG,-0.983333,29.0667,
154168398,200901,110,3,EG,27.0,30.0,
154168399,200901,110,3,EG,27.0,30.0,
233604280,200901,202,4,UG,1.0,32.0,
233604776,200901,040,1,EG,27.0,30.0,
233604777,200901,040,1,EG,27.0,30.0,
233604779,200901,042,1,EG,30.05,31.25,
233604780,200901,042,1,EG,30.05,31.25,
233604781,200901,046,1,EG,30.05,31.25,
233604782,200901,111,3,EG,31.1981,29.9192,
233604783,200901,112,3,EG,30.05,31.25,
233605910,200901,042,1,EG,30.05,31.25,
233605911,200901,042,1,EG,30.05,31.25,
233605912,200901,050,1,EG,30.05,31.25,
233605913,200901,050,1,EG,30.05,31.25,
233606244,200901,020,1,KE,-1.28333,36.8167,
154162542,200901,190,4,SU,15.0,30.0,
233606492,200901,111,3,CG,-0.983333,29.0667,
233606493,200901,111,3,CG,-4.32972,15.315,
233606805,200901,030,1,CT,4.36667,18.5833,
233607545,200901,181,4,RW,-2.0841,29.9545,
233607579,200901,202,4,UG,1.0,32.0,
154175223,200901,030,1,EG,30.05,31.25,
154175225,200901,036,1,EG,30.05,31.25,
154175228,200901,040,1,EG,31.1981,29.9192,
154175238,200901,042,1,EG,30.05,31.25,
154175250,200901,051,1,EG,30.05,31.25,
154175256,200901,090,2,EG,27.0,30.0,
154175258,200901,100,3,EG,30.05,31.25,
154175260,200901,100,3,EG,30.0445,31.2332,
154175262,200901,120,3,EG,27.0,30.0,
154160490,200901,111,3,SO,7.9607,49.8481,
154159418,200901,190,4,RW,-2.0015,29.7976,
154159419,200901,190,4,RW,-2.0015,29.7976,
154159437,200901,030,1,RW,-1.95361,30.0606,
154159438,200901,030,1,KE,1.0,38.0,
154159439,200901,030,1,RW,-1.95361,30.0606,
154159454,200901,040,1,RW,-2.1741,29.2933,
154159455,200901,042,1,RW,-1.95361,30.0606,
154159965,200901,127,3,SU,15.0,30.0,
154159966,200901,190,4,SU,13.0,25.0,
154159967,200901,190,4,SU,15.5881,32.5342,
154159968,200901,190,4,SU,9.59525,28.4349,
154159985,200901,190,4,SU,15.5881,32.5342,
154160035,200901,1123,3,SU,15.0,30.0,
154160489,200901,111,3,SO,7.75,48.0,
154131431,200901,046,1,CG,-4.32972,15.315,
154160491,200901,111,3,SO,8.40536,48.4845,
154160492,200901,111,3,SO,7.9607,49.8481,
154160575,200901,190,4,SO,2.06667,45.3667,
154160832,200901,110,3,SU,15.0,30.0,
154160834,200901,190,4,SU,15.0,30.0,
154162089,200901,0871,2,TZ,-6.0,35.0,
154162090,200901,100,3,KE,-1.28333,36.8167,
154162091,200901,100,3,KE,-1.28333,36.8167,
154162092,200901,100,3,TZ,-6.0,35.0,
154162093,200901,190,4,TZ,-6.0,35.0,
154162094,200901,190,4,TZ,-6.0,35.0,
154162101,200901,100,3,TZ,-6.0,35.0,
154162539,200901,202,4,CG,2.79949,27.6866,
154162540,200901,110,3,SU,15.0,30.0,
154117444,200901,190,4,CG,4.71636,27.6822,
154117381,200901,046,1,RW,-1.95361,30.0606,
154117382,200901,046,1,KE,-1.28333,36.8167,
154117383,200901,190,4,SU,15.0,30.0,
154117384,200901,190,4,SU,15.0,30.0,
154117394,200901,190,4,CG,4.71636,27.6822,
154117402,200901,012,1,UG,1.0,32.0,
154117403,200901,190,4,CG,4.24629,28.7527,
154117405,200901,190,4,CG,2.79949,27.6866,
154117410,200901,040,1,RW,-2.6195,29.4887,
154117411,200901,045,1,RW,-2.6195,29.4887,
154117412,200901,046,1,RW,-1.95361,30.0606,
154117413,200901,046,1,KE,-1.28333,36.8167,
154117414,200901,046,1,CG,0.0,25.0,
154117415,200901,046,1,CG,0.0,25.0,
154117418,200901,051,1,RW,-1.95361,30.0606,
