GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
180411128,200610,050,1,SU,19.0,33.2,
180416289,200610,0874,2,SU,15.0,30.0,
180416288,200610,0874,2,SF,-33.9167,18.4167,
180416287,200610,057,1,SU,15.5881,32.5342,
180414979,200610,051,1,NI,9.08333,7.53333,
180414978,200610,010,1,NI,9.08333,7.53333,
180414977,200610,050,1,EG,30.05,31.25,
180414976,200610,046,1,EG,30.05,31.25,
180414240,200610,062,2,CD,15.0,19.0,
180414212,200610,043,1,SU,12.15,24.45,
180411767,200610,112,3,SF,-33.9167,18.4167,
180411129,200610,056,1,UG,1.0,32.0,
180416290,200610,190,4,SU,15.5881,32.5342,
180411127,200610,050,1,UG,0.315556,32.5656,
180411125,200610,046,1,SU,19.0,33.2,
180411124,200610,046,1,UG,0.315556,32.5656,
180411121,200610,040,1,SU,19.0,33.2,
180411120,200610,040,1,SU,19.0,33.2,
180409499,200610,046,1,EG,30.05,31.25,
180409498,200610,040,1,EG,30.05,31.25,
180407756,200610,042,1,BY,-3.5,30.0,
180407755,200610,036,1,BY,-3.5,30.0,
180407754,200610,036,1,BY,-3.5,30.0,
180406977,200610,057,1,SU,15.5881,32.5342,
180416377,200610,090,2,SU,12.15,24.45,
180419377,200610,190,4,UG,0.315556,32.5656,
180419376,200610,190,4,UG,0.315556,32.5656,
180419374,200610,120,3,SU,15.0,30.0,
180419372,200610,1056,3,SU,15.0,30.0,
180419370,200610,043,1,SU,19.0,33.2,
180417291,200610,130,3,SU,12.15,24.45,
180417290,200610,020,1,SU,12.15,24.45,
180417289,200610,020,1,UG,3.8,32.55,
180417212,200610,190,4,SU,13.0,25.0,
180416690,200610,111,3,SU,15.0,30.0,
180416689,200610,111,3,CD,12.1085,15.0482,
180405040,200610,027,1,UG,1.0,32.0,
180416371,200610,046,1,SU,12.15,24.45,
180416363,200610,190,4,SU,15.5881,32.5342,
180416362,200610,057,1,ER,15.3333,38.9333,
180416361,200610,057,1,ER,15.3333,38.9333,
180416360,200610,057,1,SU,15.5881,32.5342,
180416333,200610,0332,1,CD,15.0,19.0,
180416312,200610,150,4,SU,13.0,25.0,
180416311,200610,050,1,CD,15.0,19.0,
180416292,200610,090,2,SU,12.15,24.45,
180416291,200610,190,4,SU,15.5881,32.5342,
180392466,200610,020,1,UG,0.315556,32.5656,
180398310,200610,057,1,NI,9.08333,7.53333,
180398309,200610,057,1,SU,15.5881,32.5342,
180398308,200610,056,1,UG,1.0,32.0,
180396825,200610,046,1,EG,30.05,31.25,
180395800,200610,1124,3,LI,6.31056,-10.8047,
180394465,200610,190,4,NI,12.5647,4.21574,
180394464,200610,173,4,NI,12.5647,4.21574,
180394463,200610,012,1,SU,13.0,25.0,
180394350,200610,046,1,MZ,-19.8436,34.8389,
180392497,200610,043,1,UG,1.0,32.0,
180392496,200610,042,1,UG,1.0,32.0,
180398316,200610,1821,4,SU,13.0,25.0,
180392435,200610,190,4,UG,-0.033333,30.5333,
180392434,200610,050,1,UG,1.0,32.0,
180392433,200610,020,1,UG,1.0,32.0,
180392432,200610,020,1,UG,0.315556,32.5656,
180391541,200610,190,4,SU,13.0,25.0,
180391533,200610,057,1,SU,15.5881,32.5342,
180391532,200610,046,1,SU,15.5881,32.5342,
180391502,200610,190,4,SU,13.0,25.0,
180391501,200610,0874,2,SU,15.5881,32.5342,
180391500,200610,057,1,ER,15.3333,38.9333,
180391499,200610,057,1,LY,32.8925,13.18,
180401901,200610,062,2,LI,7.235,-8.98444,
180404996,200610,1044,3,SU,12.15,24.45,
180404995,200610,1044,3,UG,0.315556,32.5656,
180404994,200610,042,1,UG,0.315556,32.5656,
180404993,200610,027,1,UG,1.0,32.0,
180404237,200610,046,1,SU,12.15,24.45,
180404187,200610,0874,2,SU,15.0,30.0,
180404186,200610,0874,2,SU,13.0,25.0,
180402475,200610,190,4,NI,12.5647,4.21574,
180402474,200610,173,4,NI,12.5647,4.21574,
180402181,200610,010,1,MZ,-19.8436,34.8389,
180401954,200610,190,4,CD,12.1085,15.0482,
180423111,200610,030,1,EG,27.0,30.0,
180401696,200610,020,1,SU,12.15,24.45,
180401131,200610,010,1,LI,7.235,-8.98444,
180401128,200610,1124,3,IV,8.0,-5.0,
180401127,200610,1124,3,LI,6.31056,-10.8047,
180401126,200610,1124,3,LI,6.3,-10.7667,
180401125,200610,010,1,IV,8.0,-5.0,
180398404,200610,046,1,UG,3.8,32.55,
180398352,200610,057,1,SU,15.0,30.0,
180398351,200610,027,1,SU,15.0,30.0,
180398317,200610,1821,4,SU,15.0,30.0,
180435610,200610,057,1,SU,15.0,30.0,
180434531,200610,0312,1,NI,5.79463,7.03495,
180435478,200610,060,2,RW,-2.0597,29.3482,
180435599,200610,027,1,SU,15.0,30.0,
180435600,200610,043,1,SU,15.0,30.0,
180435601,200610,057,1,SU,15.5881,32.5342,
