GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
294594888,201404,042,1,SU,13.5,23.5,
294589100,201404,112,3,ET,8.0,38.0,
294594018,201404,112,3,RW,-2.0,30.0,
294594866,201404,012,1,SU,15.5881,32.5342,
294594867,201404,042,1,SU,15.0,30.0,
294594868,201404,161,4,SU,15.5881,32.5342,
294594870,201404,190,4,SU,13.5,23.5,
294594871,201404,010,1,SU,15.5881,32.5342,
294594872,201404,190,4,SU,15.5881,32.5342,
294589099,201404,112,3,ET,8.0,38.0,
294594889,201404,141,3,SU,15.5881,32.5342,
294594978,201404,046,1,SU,15.5881,32.5342,
294595020,201404,190,4,SU,15.5881,32.5342,
294595659,201404,173,4,KE,-1.28333,36.8167,
294595660,201404,173,4,SO,2.06667,45.3667,
294595957,201404,190,4,NI,8.83333,7.16667,
294596193,201404,051,1,SU,13.5,23.5,
294596198,201404,112,3,SU,15.0,30.0,
294580162,201404,180,4,NI,12.024,13.9165,
294580154,201404,010,1,NI,12.0787,14.4519,
294580155,201404,010,1,NI,12.944,13.184,
294580156,201404,013,1,NI,6.60961,3.35658,
294580157,201404,020,1,NI,10.8658,12.847,
294580158,201404,020,1,NI,11.9964,8.51667,
294580159,201404,051,1,NI,9.08333,7.53333,
294580160,201404,112,3,NI,11.4833,10.9667,
294580161,201404,173,4,NI,13.3285,14.1217,
294596201,201404,1124,3,RW,-2.0,30.0,
294580163,201404,180,4,NI,12.024,13.9165,
294580164,201404,190,4,NI,9.08333,7.53333,
294580165,201404,191,4,NI,11.5,13.0,
294580369,201404,051,1,NI,9.08333,7.53333,
294580370,201404,051,1,NI,9.08333,7.53333,
294580371,201404,051,1,NI,8.5,5.0,
294587357,201404,062,2,EG,27.0,30.0,
294637031,201404,036,1,NI,9.08333,7.53333,
294635554,201404,120,3,SF,-26.0833,28.25,
294636174,201404,045,1,NI,7.85,9.78333,
294636175,201404,190,4,NI,7.85,9.78333,
294636402,201404,190,4,KE,1.0,38.0,
294636412,201404,110,3,SU,15.5881,32.5342,
294636413,201404,110,3,SU,15.5881,32.5342,
294636734,201404,036,1,NI,9.08333,7.53333,
294636735,201404,036,1,NI,6.60961,3.35658,
294635553,201404,120,3,SF,-26.2,28.0833,
294637032,201404,036,1,NI,6.60961,3.35658,
294333043,201404,1124,3,SU,13.5,23.5,
294333044,201404,1124,3,SU,15.5881,32.5342,
294333045,201404,1124,3,SU,13.5,23.5,
294333046,201404,1124,3,SU,15.5881,32.5342,
294333047,201404,1124,3,SU,13.5,23.5,
294333048,201404,1124,3,SU,15.5881,32.5342,
294333049,201404,1124,3,SU,13.3267,24.8534,
294596409,201404,112,3,SU,15.5881,32.5342,
294596202,201404,1832,4,SU,15.0,30.0,
294596205,201404,190,4,SU,15.0,30.0,
294596208,201404,202,4,SU,15.0,30.0,
294596256,201404,020,1,SU,15.0,30.0,
294596258,201404,164,4,SU,15.5881,32.5342,
294596261,201404,193,4,SU,15.0,30.0,
294596363,201404,190,4,SU,15.5881,32.5342,
294596364,201404,190,4,SU,15.0,30.0,
294580153,201404,010,1,NI,12.1,13.7,
294597735,201404,173,4,NI,13.3285,14.1217,
294600535,201404,190,4,NI,9.08333,7.53333,
294600849,201404,081,2,UG,3.02013,30.9111,
294600915,201404,173,4,CT,7.0,21.0,
294622588,201404,111,3,SU,15.0,30.0,
294630191,201404,112,3,EG,30.05,31.25,
294635552,201404,040,1,SF,-26.0833,28.25,
294544915,201404,0871,2,SU,13.5,23.5,
294534350,201404,020,1,RW,-2.0,30.0,
294534352,201404,020,1,RW,-2.0,30.0,
294544889,201404,010,1,NI,9.08333,7.53333,
294544896,201404,022,1,NI,9.08333,7.53333,
294544897,201404,030,1,LY,32.8925,13.18,
294544898,201404,030,1,LY,25.0,17.0,
294544906,201404,051,1,NI,9.08333,7.53333,
294544907,201404,051,1,NI,8.5,5.0,
294532398,201404,050,1,SU,13.0833,30.35,
294544916,201404,112,3,NI,11.4833,10.9667,
294544919,201404,112,3,ET,8.25,34.5833,
294544920,201404,112,3,NI,9.33333,12.5,
294544922,201404,154,4,NI,6.67835,8.96993,
298406916,201404,181,4,NI,10.8658,12.847,
298406915,201404,110,3,NI,11.2989,7.67423,
298406914,201404,010,1,NI,11.2989,7.67423,
294544923,201404,154,4,NI,6.67835,8.96993,
294531091,201404,043,1,EG,31.2878,34.2369,
294529280,201404,020,1,NI,9.08333,7.53333,
294529282,201404,130,3,NI,11.8464,13.1603,
294529283,201404,130,3,NI,11.8464,13.1603,
294531084,201404,010,1,EG,30.2495,31.3545,
294531086,201404,036,1,EG,30.05,31.25,
294531087,201404,036,1,EG,30.05,31.25,
294531088,201404,045,1,EG,31.2878,34.2369,
294531089,201404,043,1,EG,31.2878,34.2369,
294544924,201404,173,4,NI,11.9964,8.51667,
294531113,201404,020,1,EG,27.0,30.0,
294531336,201404,010,1,EG,30.2495,31.3545,
294531500,201404,020,1,EG,27.0,30.0,
294532394,201404,043,1,SU,15.5881,32.5342,
294532395,201404,043,1,SU,15.5881,32.5342,
294532396,201404,050,1,SU,15.5881,32.5342,
294532397,201404,050,1,SU,15.5881,32.5342,
294574816,201404,193,4,LY,25.0,17.0,
294574788,201404,051,1,SU,15.0,30.0,
294574795,201404,173,4,UG,0.315556,32.5656,
294574796,201404,173,4,CT,7.0,21.0,
294574797,201404,173,4,CT,7.0,21.0,
294574798,201404,173,4,UG,0.315556,32.5656,
294574799,201404,173,4,UG,1.0,32.0,
294574804,201404,180,4,SU,15.0,30.0,
294574814,201404,190,4,SU,15.0,30.0,
294572079,201404,112,3,RW,-2.0,30.0,
294574874,201404,190,4,RW,-2.0,30.0,
294577932,201404,036,1,EG,31.2878,34.2369,
294577940,201404,160,4,EG,27.0,30.0,
294578232,201404,130,3,MZ,-25.9653,32.5892,
294578233,201404,130,3,MZ,-25.9653,32.5892,
294579317,201404,051,1,NI,10.0,8.0,
294580152,201404,010,1,NI,9.08333,7.53333,
294566244,201404,010,1,LY,32.8925,13.18,
294550058,201404,036,1,SU,15.0,30.0,
294550063,201404,036,1,SU,15.0,30.0,
294556597,201404,057,1,EG,31.2878,34.2369,
294556598,201404,057,1,EG,31.2878,34.2369,
294556600,201404,057,1,EG,31.2878,34.2369,
294563144,201404,173,4,SO,2.06667,45.3667,
294563145,201404,173,4,KE,-1.28333,36.8167,
294563146,201404,173,4,KE,-1.28333,36.8167,
294333050,201404,192,4,SU,15.0,30.0,
294566245,201404,010,1,LY,25.0,17.0,
294566246,201404,080,2,LY,32.8925,13.18,
294566247,201404,080,2,LY,25.0,17.0,
294566293,201404,173,4,LY,25.0,17.0,
294568206,201404,190,4,NI,9.08333,7.53333,
294571832,201404,046,1,LY,25.0,17.0,
294572078,201404,112,3,RW,-2.0,30.0,
294411399,201404,190,4,LY,32.8925,13.18,
294411389,201404,030,1,LY,32.8925,13.18,
294411390,201404,043,1,LY,32.7627,21.7551,
294411391,201404,043,1,LY,32.8925,13.18,
294411392,201404,043,1,LY,25.0,17.0,
294411394,201404,080,2,LY,32.8925,13.18,
294411395,201404,080,2,LY,25.0,17.0,
294411397,201404,0874,2,LY,25.0,17.0,
294411398,201404,190,4,LY,32.3754,15.0925,
294411388,201404,010,1,LY,25.0,17.0,
294411444,201404,030,1,LY,32.8925,13.18,
294416562,201404,046,1,LY,25.0,17.0,
294416835,201404,017,1,EG,30.05,31.25,
294416836,201404,141,3,EG,30.05,31.25,
294416908,201404,010,1,SU,15.0,30.0,
294419232,201404,190,4,NI,9.08333,7.53333,
294419233,201404,190,4,NI,10.8658,12.847,
294419326,201404,051,1,SU,15.0,30.0,
294397517,201404,1123,3,ET,8.0,38.0,
294391570,201404,112,3,UG,1.0,32.0,
294394257,201404,110,3,SU,12.4333,30.7,
294394331,201404,070,2,MZ,-25.9653,32.5892,
294394332,201404,070,2,MZ,-25.9653,32.5892,
294396548,201404,111,3,SO,2.06667,45.3667,
294397450,201404,010,1,SU,15.0,30.0,
294397451,201404,1123,3,SU,15.0,30.0,
294397457,201404,193,4,SU,15.0,30.0,
294419334,201404,173,4,UG,0.315556,32.5656,
294397954,201404,138,3,SO,2.06667,45.3667,
294397955,201404,190,4,SO,2.06667,45.3667,
294406951,201404,090,2,EG,27.0,30.0,
294406952,201404,1125,3,EG,27.0,30.0,
294406960,201404,172,4,SF,-26.2,28.0833,
294406961,201404,172,4,SF,-28.6207,31.0907,
294411387,201404,010,1,LY,32.8925,13.18,
294424615,201404,180,4,NI,6.67835,8.96993,
294424607,201404,013,1,NI,12.0,11.5,
294424608,201404,020,1,NI,6.4402,7.4943,
294424609,201404,020,1,NI,6.45306,3.39583,
294424610,201404,051,1,NI,9.08333,7.53333,
294424611,201404,051,1,NI,12.2658,6.63738,
