GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
231580779,199001,013,1,SU,11.0333,27.7333,
8440333,199001,081,2,AG,28.0,3.0,
8441826,199001,190,4,ER,15.6097,39.45,
8441827,199001,190,4,ET,8.0,38.0,
231579134,199001,040,1,ZI,-17.8178,31.0447,
231579135,199001,040,1,SF,-29.0,24.0,
8443305,199001,020,1,LI,7.48889,-8.57083,
8443306,199001,173,4,LI,7.48889,-8.57083,
8444392,199001,020,1,LI,7.48889,-8.57083,
8444393,199001,173,4,LI,7.48889,-8.57083,
8444959,199001,190,4,ER,15.6097,39.45,
8444960,199001,190,4,ET,8.0,38.0,
8446728,199001,1123,3,ET,11.5,40.0,
8447435,199001,010,1,LI,6.75,-8.75,
8447436,199001,010,1,LI,6.75,-8.75,
8440332,199001,010,1,AG,28.0,3.0,
231580780,199001,180,4,SU,15.5881,32.5342,
231580781,199001,190,4,SU,15.5881,32.5342,
231580782,199001,190,4,SU,11.0333,27.7333,
231580783,199001,190,4,SU,15.5881,32.5342,
231580784,199001,013,1,SU,11.0333,27.7333,
231580785,199001,190,4,SU,15.5881,32.5342,
231580786,199001,190,4,SU,15.5881,32.5342,
8449166,199001,073,2,KE,-1.28333,36.8167,
8449237,199001,130,3,IV,7.25957,-8.15498,
8449238,199001,130,3,IV,7.25957,-8.15498,
8449239,199001,130,3,LI,7.48889,-8.57083,
8449839,199001,080,2,LI,7.48889,-8.57083,
8449840,199001,080,2,LI,7.48889,-8.57083,
8430808,199001,112,3,ET,8.0,38.0,
8427490,199001,010,1,LI,6.75,-8.75,
8427491,199001,173,4,IV,5.34111,-4.02806,
8428580,199001,043,1,SF,-26.5559,22.5301,
8428581,199001,043,1,ZA,-15.4167,28.2833,
8428592,199001,190,4,ET,9.03333,38.7,
8428593,199001,190,4,ER,15.0,39.0,
231576907,199001,190,4,ZI,-20.0,30.0,
231577040,199001,100,3,ZA,-15.4167,28.2833,
231577041,199001,100,3,SF,-29.0,24.0,
8428788,199001,193,4,SO,10.0,49.0,
8428883,199001,025,1,SF,-26.5559,22.5301,
8428884,199001,025,1,TZ,-6.0,35.0,
8429420,199001,194,4,SO,9.56,44.065,
8430733,199001,190,4,SO,9.56,44.065,
8450310,199001,090,2,IV,5.34111,-4.02806,
8432070,199001,190,4,SO,2.06667,45.3667,
8432871,199001,050,1,ET,11.6333,38.0667,
8432873,199001,010,1,ET,13.5,39.5,
8433165,199001,010,1,ET,11.6333,38.0667,
8434336,199001,010,1,ET,13.5,39.5,
8434337,199001,010,1,ET,13.5,39.5,
8434567,199001,182,4,SO,2.06667,45.3667,
8435604,199001,160,4,AO,-15.8,20.35,
8435606,199001,190,4,AO,-15.8,20.35,
8437937,199001,051,1,ZI,-17.8178,31.0447,
231578786,199001,043,1,SF,-29.0,24.0,
231578789,199001,051,1,AO,-12.5,18.5,
8439796,199001,111,3,LI,6.5,-9.5,
8462150,199001,072,2,AO,-15.8,20.35,
231581928,199001,013,1,MZ,-18.25,35.0,
231582005,199001,043,1,TZ,-6.0,35.0,
8456951,199001,051,1,EG,30.05,31.25,
8457615,199001,040,1,AO,-8.83833,13.2344,
8457754,199001,051,1,EG,30.05,31.25,
8457755,199001,051,1,EG,30.05,31.25,
231582259,199001,043,1,TZ,-6.0,35.0,
8459741,199001,040,1,AO,-8.83833,13.2344,
8459952,199001,160,4,SU,15.0,30.0,
8460472,199001,042,1,AO,-15.8,20.35,
8460473,199001,190,4,AO,-15.8,20.35,
8460479,199001,190,4,AO,-15.8,20.35,
8460480,199001,190,4,AO,-15.8,20.35,
8461635,199001,020,1,MZ,-25.9653,32.5892,
231581927,199001,190,4,SO,2.06667,45.3667,
8462498,199001,1123,3,SF,-26.5559,22.5301,
8462499,199001,172,4,SF,-26.5559,22.5301,
8462705,199001,110,3,AO,-6.13333,14.6333,
8463957,199001,030,1,AO,-6.13333,14.6333,
8463958,199001,051,1,AO,-15.8,20.35,
8463961,199001,192,4,AO,-6.13333,14.6333,
8464352,199001,1044,3,SU,15.0,30.0,
8464353,199001,1044,3,SU,15.0,30.0,
8464354,199001,172,4,KE,-1.28333,36.8167,
8464355,199001,172,4,SU,15.0,30.0,
231583402,199001,010,1,ET,8.0,38.0,
231583403,199001,020,1,ER,15.6097,39.45,
231583405,199001,010,1,ET,8.0,38.0,
8454430,199001,042,1,AO,-15.8,20.35,
8450311,199001,090,2,IV,5.34111,-4.02806,
8450495,199001,020,1,LI,7.48889,-8.57083,
8450496,199001,020,1,LI,7.48889,-8.57083,
8451343,199001,060,2,LI,7.48889,-8.57083,
8452197,199001,073,2,KE,-1.28333,36.8167,
8452319,199001,160,4,SF,-25.7069,28.2294,
8452497,199001,190,4,ET,9.88333,36.55,
8452776,199001,014,1,ET,9.88333,36.55,
8453423,199001,1123,3,ET,11.5,40.0,
231581355,199001,042,1,SF,-29.0,24.0,
231581578,199001,1124,3,MZ,-25.9653,32.5892,
231581579,199001,1124,3,MZ,-25.9653,32.5892,
231581602,199001,190,4,MZ,-14.1989,37.4967,
231581747,199001,043,1,TZ,-6.8,39.2833,
8411526,199001,112,3,MZ,-19.8436,34.8389,
8454431,199001,057,1,UG,3.27833,32.8867,
8454521,199001,046,1,UG,3.27833,32.8867,
8454522,199001,111,3,UG,0.315556,32.5656,
8454523,199001,130,3,UG,3.01111,32.7739,
8454524,199001,190,4,UG,3.52972,32.8016,
8454525,199001,046,1,UG,3.27833,32.8867,
8454526,199001,130,3,UG,3.01111,32.7739,
8454551,199001,190,4,AO,-15.8,20.35,
8455768,199001,190,4,SU,15.0,30.0,
8455976,199001,043,1,AO,-12.5,18.5,
8456227,199001,020,1,UG,3.27833,32.8867,
231581903,199001,010,1,MZ,-18.25,35.0,
231581926,199001,190,4,SO,-0.358173,42.5454,
8398243,199001,080,2,UG,1.46083,33.9361,
8400495,199001,040,1,SF,-26.5559,22.5301,
8400053,199001,190,4,SU,13.1667,32.6667,
8399670,199001,020,1,LI,7.48889,-8.57083,
8399515,199001,190,4,LI,7.48889,-8.57083,
8399514,199001,020,1,LI,7.48889,-8.57083,
8399513,199001,010,1,LI,7.48889,-8.57083,
8399512,199001,010,1,LI,7.48889,-8.57083,
8398937,199001,010,1,LI,6.31056,-10.8047,
8398936,199001,010,1,LI,7.48889,-8.57083,
231569525,199001,013,1,ET,13.5,39.5,
231569524,199001,013,1,ET,13.5,39.5,
8398246,199001,190,4,UG,1.46083,33.9361,
8398245,199001,190,4,UG,1.46083,33.9361,
8398244,199001,080,2,UG,1.30167,33.8872,
8400496,199001,040,1,SF,-26.5559,22.5301,
8398126,199001,1123,3,SU,15.0,30.0,
8397416,199001,1123,3,LI,7.48889,-8.57083,
8397414,199001,173,4,LI,6.31056,-10.8047,
8397403,199001,190,4,LI,7.48889,-8.57083,
8396547,199001,190,4,LI,7.48889,-8.57083,
8396546,199001,190,4,LI,7.48889,-8.57083,
8396300,199001,080,2,UG,1.30167,33.8872,
8396299,199001,080,2,UG,1.46083,33.9361,
231569251,199001,120,3,SF,-25.7069,28.2294,
8394492,199001,190,4,ER,15.0,39.0,
8394079,199001,020,1,AO,-12.5,18.5,
8393782,199001,046,1,MZ,-25.9653,32.5892,
8393781,199001,046,1,MZ,-25.9653,32.5892,
8402527,199001,012,1,ET,8.0,38.0,
8426450,199001,173,4,IV,5.34111,-4.02806,
8411525,199001,010,1,MZ,-19.8436,34.8389,
8409021,199001,195,4,SU,15.0,30.0,
