GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
73779348,201108,030,1,SU,11.0167,29.7167,
73771388,201108,0871,2,LY,25.0,17.0,
73771390,201108,0871,2,LY,25.0,17.0,
73772773,201108,0353,1,LY,32.8925,13.18,
73772777,201108,040,1,LY,32.8925,13.18,
73772779,201108,057,1,LY,25.0,17.0,
73773201,201108,040,1,LY,32.8925,13.18,
73778361,201108,040,1,LY,25.0,17.0,
73778362,201108,051,1,LY,32.8925,13.18,
73778365,201108,190,4,LY,32.8925,13.18,
73778366,201108,190,4,LY,32.8925,13.18,
73778367,201108,190,4,LY,25.0,17.0,
73779343,201108,010,1,LY,32.8925,13.18,
73779344,201108,012,1,LY,32.8925,13.18,
73771386,201108,0871,2,LY,32.8925,13.18,
73779350,201108,036,1,LY,32.1167,20.0667,
73779351,201108,036,1,LY,32.1167,20.0667,
73779354,201108,040,1,LY,32.8925,13.18,
73779357,201108,044,1,LY,32.8925,13.18,
73779358,201108,046,1,LY,32.8925,13.18,
73779365,201108,051,1,LY,32.8925,13.18,
73779366,201108,060,2,LY,32.1167,20.0667,
73779368,201108,110,3,LY,31.2089,16.5887,
73779370,201108,120,3,LY,31.2089,16.5887,
73779372,201108,120,3,LY,32.8925,13.18,
73779373,201108,120,3,SU,14.5909,33.3785,
73779375,201108,130,3,LY,32.8925,13.18,
73779376,201108,130,3,LY,32.8925,13.18,
73770942,201108,0871,2,LY,25.0,17.0,
73768525,201108,130,3,EG,27.0,30.0,
73768528,201108,173,4,LY,32.8925,13.18,
73768644,201108,0831,2,EG,27.0,30.0,
73769390,201108,036,1,LY,32.1167,20.0667,
73769391,201108,036,1,LY,32.1167,20.0667,
73769638,201108,040,1,LY,32.8925,13.18,
73769664,201108,043,1,LY,32.8925,13.18,
73770935,201108,0871,2,LY,25.0,17.0,
73770936,201108,0871,2,LY,25.0,17.0,
73770937,201108,0871,2,LY,25.0,17.0,
73770938,201108,0871,2,LY,25.0,17.0,
73770939,201108,0871,2,LY,25.0,17.0,
73770940,201108,0871,2,LY,32.8925,13.18,
73779381,201108,141,3,LY,32.8925,13.18,
73770943,201108,0871,2,LY,25.0,17.0,
73770944,201108,0871,2,LY,25.0,17.0,
73770945,201108,0871,2,LY,32.8925,13.18,
73770946,201108,0871,2,LY,25.0,17.0,
73770947,201108,0871,2,LY,25.0,17.0,
73770948,201108,0871,2,LY,25.0,17.0,
73770949,201108,0871,2,LY,25.0,17.0,
73770990,201108,036,1,LY,32.1167,20.0667,
73771376,201108,0871,2,LY,25.0,17.0,
73771377,201108,0871,2,LY,32.8925,13.18,
73771379,201108,0871,2,LY,25.0,17.0,
73771380,201108,0871,2,LY,32.8925,13.18,
73771383,201108,0871,2,LY,32.8925,13.18,
73784437,201108,013,1,EG,30.0445,31.2332,
73784144,201108,051,1,EG,30.0445,31.2332,
73784376,201108,100,3,LY,32.8925,13.18,
73784377,201108,100,3,LY,32.8925,13.18,
73784421,201108,010,1,LY,25.0,17.0,
73784423,201108,030,1,ER,15.0,39.0,
73784424,201108,030,1,ER,15.0,39.0,
73784428,201108,0841,2,LY,32.8925,13.18,
73784429,201108,112,3,UG,0.064444,32.4469,
73784430,201108,112,3,LY,32.8925,13.18,
73784432,201108,180,4,LY,32.8925,13.18,
73784434,201108,013,1,LY,32.8925,13.18,
73784435,201108,013,1,LY,32.8925,13.18,
73784436,201108,013,1,LY,32.8925,13.18,
73784089,201108,181,4,LY,32.8925,13.18,
73784438,201108,013,1,EG,30.0445,31.2332,
73784441,201108,0233,1,LY,32.8925,13.18,
73784442,201108,0233,1,LY,32.8925,13.18,
73784444,201108,0233,1,EG,30.05,31.25,
73784445,201108,0233,1,EG,30.0445,31.2332,
73784446,201108,0233,1,LY,32.8925,13.18,
73784998,201108,043,1,LY,32.8925,13.18,
73784999,201108,072,2,ZI,-17.8178,31.0447,
73785000,201108,072,2,ZI,-17.8178,31.0447,
73785042,201108,010,1,LY,32.8925,13.18,
73785043,201108,040,1,LY,25.0,17.0,
73785044,201108,042,1,LY,32.8925,13.18,
73785046,201108,050,1,LY,32.8925,13.18,
73783189,201108,120,3,LY,25.0,17.0,
73779382,201108,141,3,LY,32.8925,13.18,
73779387,201108,170,4,LY,32.8925,13.18,
73779393,201108,180,4,LY,32.8925,13.18,
73779394,201108,190,4,LY,32.8925,13.18,
73781304,201108,0332,1,LY,32.1167,20.0667,
73781399,201108,190,4,LY,32.8925,13.18,
73781400,201108,190,4,LY,32.8925,13.18,
73781401,201108,190,4,LY,32.8925,13.18,
73782365,201108,141,3,LY,30.7555,20.2263,
73782366,201108,190,4,LY,32.8925,13.18,
73782367,201108,111,3,LY,32.8925,13.18,
73782368,201108,1124,3,LY,32.8925,13.18,
73782852,201108,012,1,LY,32.8925,13.18,
73768524,201108,130,3,EG,27.0,30.0,
73783880,201108,010,1,LY,32.8925,13.18,
73783881,201108,051,1,LY,32.8925,13.18,
73783957,201108,100,3,LY,32.8925,13.18,
73784026,201108,043,1,LY,32.8925,13.18,
73784027,201108,173,4,LY,32.8925,13.18,
73784028,201108,181,4,LY,32.8925,13.18,
73784079,201108,013,1,LY,32.8925,13.18,
73784080,201108,020,1,LY,32.8925,13.18,
73784083,201108,0214,1,LY,32.8925,13.18,
73784086,201108,043,1,LY,32.8925,13.18,
73784087,201108,080,2,LY,32.8925,13.18,
73784088,201108,100,3,LY,32.8925,13.18,
73741852,201108,190,4,LY,31.9582,12.0203,
73741830,201108,120,3,LY,25.0,17.0,
73741831,201108,130,3,LY,32.8925,13.18,
73741834,201108,171,4,AG,28.0,3.0,
73741836,201108,173,4,EG,30.05,31.25,
73741837,201108,173,4,LY,32.8925,13.18,
73741838,201108,173,4,LY,32.1167,20.0667,
73741839,201108,173,4,LY,31.2089,16.5887,
73741840,201108,173,4,LY,32.8925,13.18,
73741842,201108,173,4,LY,25.0,17.0,
73741843,201108,180,4,LY,32.8925,13.18,
73741844,201108,181,4,LY,31.2089,16.5887,
73741845,201108,181,4,LY,32.8925,13.18,
73741851,201108,190,4,LY,32.85,13.1667,
73741828,201108,120,3,LY,32.8925,13.18,
73741853,201108,190,4,LY,31.2089,16.5887,
73741854,201108,190,4,LY,32.8925,13.18,
73741855,201108,190,4,LY,32.1722,13.0203,
73741856,201108,190,4,LY,32.8925,13.18,
73741862,201108,190,4,LY,25.0,17.0,
73741866,201108,192,4,LY,32.8925,13.18,
73741867,201108,194,4,LY,31.2089,16.5887,
73741868,201108,194,4,LY,32.8925,13.18,
73741869,201108,043,1,LY,32.8925,13.18,
73741870,201108,051,1,LY,32.8925,13.18,
73741871,201108,020,1,LY,32.8925,13.18,
73741872,201108,190,4,LY,30.5167,18.5667,
73741873,201108,190,4,LY,32.8925,13.18,
73741802,201108,046,1,LY,25.0,17.0,
73741779,201108,019,1,LY,32.1167,20.0667,
73741780,201108,019,1,LY,32.1167,20.0667,
73741781,201108,020,1,LY,32.8925,13.18,
73741783,201108,0331,1,LY,32.1167,20.0667,
73741785,201108,037,1,EG,30.05,31.25,
73741787,201108,040,1,LY,32.8925,13.18,
73741792,201108,043,1,LY,30.5167,18.5667,
73741793,201108,043,1,LY,32.8925,13.18,
73741797,201108,046,1,SU,14.8833,31.25,
73741798,201108,046,1,LY,31.9223,12.252,
73741799,201108,046,1,LY,32.3754,15.0925,
73741800,201108,046,1,LY,32.8925,13.18,
73741801,201108,046,1,LY,32.8925,13.18,
73746428,201108,012,1,SF,-26.2,28.0833,
73741804,201108,050,1,LY,32.8925,13.18,
73741806,201108,051,1,LY,32.8925,13.18,
73741808,201108,051,1,LY,25.0,17.0,
73741809,201108,060,2,LY,25.0,17.0,
73741811,201108,080,2,EG,30.05,31.25,
73741812,201108,080,2,LY,32.1167,20.0667,
73741813,201108,080,2,LY,32.8925,13.18,
73741814,201108,080,2,LY,32.8925,13.18,
73741819,201108,0841,2,LY,32.8925,13.18,
73741820,201108,090,2,AG,28.0,3.0,
73741821,201108,111,3,LY,31.2089,16.5887,
73741822,201108,112,3,LY,32.8925,13.18,
73741827,201108,1123,3,LY,32.85,13.1667,
73765559,201108,051,1,LY,32.8925,13.18,
73760894,201108,040,1,LY,25.0,17.0,
73763457,201108,181,4,LY,32.8925,13.18,
73763459,201108,190,4,LY,32.8925,13.18,
73763632,201108,020,1,LY,32.8925,13.18,
73763634,201108,051,1,LY,32.8925,13.18,
73763635,201108,051,1,LY,32.8925,13.18,
73763636,201108,056,1,LY,31.2089,16.5887,
73763638,201108,181,4,LY,32.8925,13.18,
73763641,201108,190,4,LY,32.8925,13.18,
73763642,201108,051,1,LY,32.8925,13.18,
73764347,201108,051,1,LY,32.8925,13.18,
73764905,201108,071,2,LY,25.0,17.0,
73764951,201108,040,1,LY,32.8925,13.18,
73759879,201108,0841,2,LY,32.8925,13.18,
73765560,201108,051,1,AG,36.7631,3.05056,
73767168,201108,111,3,LY,25.0,17.0,
73768446,201108,054,1,EG,30.05,31.25,
73768447,201108,060,2,LY,32.8925,13.18,
73768448,201108,060,2,EG,30.0445,31.2332,
73768449,201108,060,2,EG,30.0445,31.2332,
73768516,201108,010,1,EG,30.0445,31.2332,
73768517,201108,020,1,EG,30.05,31.25,
73768518,201108,020,1,EG,30.05,31.25,
73768519,201108,051,1,EG,30.0445,31.2332,
73768521,201108,051,1,EG,30.0445,31.2332,
73768522,201108,0831,2,EG,27.0,30.0,
73768523,201108,0831,2,EG,27.0,30.0,
73754872,201108,100,3,LY,32.3754,15.0925,
73746429,201108,031,1,SF,-26.2,28.0833,
73746430,201108,120,3,LY,32.8925,13.18,
73746971,201108,051,1,LY,32.8925,13.18,
73749341,201108,190,4,LY,32.8925,13.18,
73749545,201108,027,1,LY,25.0,17.0,
73749558,201108,190,4,LY,32.8925,13.18,
73749641,201108,013,1,LY,32.8925,13.18,
73753173,201108,013,1,LY,32.8925,13.18,
73753174,201108,013,1,LY,25.0,17.0,
73753176,201108,050,1,EG,30.05,31.25,
73753177,201108,050,1,EG,30.05,31.25,
73753178,201108,050,1,LY,32.8925,13.18,
73753179,201108,050,1,LY,32.8925,13.18,
73785048,201108,051,1,LY,32.8925,13.18,
73756387,201108,020,1,LY,25.0,17.0,
73756388,201108,020,1,LY,25.0,17.0,
73756390,201108,043,1,LY,32.8925,13.18,
73756391,201108,043,1,LY,25.0,17.0,
73756392,201108,043,1,LY,32.8925,13.18,
73756393,201108,043,1,LY,25.0,17.0,
73756395,201108,043,1,LY,32.8925,13.18,
73756398,201108,051,1,LY,32.8925,13.18,
73756576,201108,015,1,LY,32.8925,13.18,
73756577,201108,025,1,LY,32.8925,13.18,
73756580,201108,051,1,LY,32.8925,13.18,
73756586,201108,140,3,LY,32.8925,13.18,
73796624,201108,051,1,LY,32.8925,13.18,
73796606,201108,043,1,LY,30.5167,18.5667,
73796607,201108,043,1,LY,32.8925,13.18,
73796608,201108,043,1,LY,32.8925,13.18,
73796609,201108,043,1,LY,32.8925,13.18,
73796611,201108,044,1,LY,32.1167,20.0667,
73796613,201108,046,1,LY,31.9223,12.252,
73796614,201108,046,1,LY,30.3,19.2167,
73796615,201108,046,1,LY,30.3,19.2167,
73796616,201108,046,1,LY,32.8925,13.18,
73796617,201108,046,1,EG,27.0,30.0,
73796620,201108,051,1,LY,32.8925,13.18,
73796622,201108,051,1,LY,32.8925,13.18,
73796623,201108,051,1,LY,31.2089,16.5887,
73796604,201108,042,1,LY,32.1167,20.0667,
73796625,201108,051,1,LY,32.8925,13.18,
73796626,201108,051,1,LY,32.8925,13.18,
73796629,201108,051,1,EG,27.0,30.0,
73796631,201108,051,1,LY,25.0,17.0,
73796637,201108,051,1,LY,32.8925,13.18,
73796639,201108,052,1,LY,32.1167,20.0667,
73796640,201108,071,2,LY,32.1167,20.0667,
73796642,201108,071,2,LY,32.1167,20.0667,
73796643,201108,080,2,LY,32.8925,13.18,
73796645,201108,0841,2,LY,32.8133,13.2697,
73796646,201108,0841,2,LY,32.8925,13.18,
73796647,201108,0841,2,LY,32.8925,13.18,
73796648,201108,0841,2,LY,25.0,17.0,
73796583,201108,040,1,LY,32.8925,13.18,
73796561,201108,013,1,LY,32.875,13.175,
73796562,201108,013,1,LY,32.875,13.175,
73796563,201108,013,1,LY,32.8925,13.18,
73796564,201108,013,1,LY,32.8925,13.18,
73796567,201108,020,1,LY,32.1167,20.0667,
73796570,201108,020,1,LY,32.8925,13.18,
73796571,201108,020,1,LY,25.0,17.0,
73796575,201108,036,1,LY,32.8925,13.18,
73796577,201108,040,1,LY,32.1167,20.0667,
73796578,201108,040,1,LY,32.1167,20.0667,
73796579,201108,040,1,LY,31.2089,16.5887,
73796580,201108,040,1,LY,32.8925,13.18,
73796581,201108,040,1,LY,32.8925,13.18,
73796650,201108,090,2,UG,0.693889,30.2664,
73796585,201108,040,1,LY,32.1167,20.0667,
73796586,201108,040,1,LY,32.8925,13.18,
73796588,201108,040,1,LY,25.0,17.0,
73796590,201108,040,1,LY,32.8925,13.18,
73796593,201108,040,1,LY,31.2089,16.5887,
73796594,201108,041,1,LY,32.1167,20.0667,
73796595,201108,041,1,LY,32.8925,13.18,
73796596,201108,042,1,LY,32.1167,20.0667,
73796599,201108,042,1,LY,30.3,19.2167,
73796600,201108,042,1,LY,31.2089,16.5887,
73796601,201108,042,1,LY,32.1167,20.0667,
73796602,201108,042,1,LY,32.1167,20.0667,
73796603,201108,042,1,LY,32.8925,13.18,
73796716,201108,190,4,AG,28.0,3.0,
73796691,201108,180,4,LY,32.8925,13.18,
73796692,201108,181,4,LY,32.8925,13.18,
73796695,201108,190,4,LY,32.85,13.1667,
73796697,201108,190,4,LY,32.8925,13.18,
73796698,201108,190,4,LY,31.2089,16.5887,
73796701,201108,190,4,LY,32.8925,13.18,
73796702,201108,190,4,LY,32.8925,13.18,
73796704,201108,190,4,LY,32.8925,13.18,
73796705,201108,190,4,AG,28.0,3.0,
73796706,201108,190,4,LY,32.8925,13.18,
73796710,201108,190,4,LY,32.8925,13.18,
73796713,201108,190,4,AG,28.0,3.0,
73796714,201108,190,4,LY,32.8925,13.18,
73796686,201108,173,4,LY,32.8925,13.18,
73796717,201108,190,4,AG,28.0,3.0,
73796718,201108,190,4,LY,32.8925,13.18,
73796720,201108,190,4,LY,25.0,17.0,
73796724,201108,192,4,LY,32.1167,20.0667,
73796725,201108,192,4,LY,32.8925,13.18,
73796726,201108,192,4,LY,32.8925,13.18,
73796727,201108,192,4,LY,25.0,17.0,
73796728,201108,193,4,LY,32.8925,13.18,
73796729,201108,194,4,LY,32.3754,15.0925,
73796730,201108,194,4,LY,31.2089,16.5887,
73796731,201108,194,4,LY,31.2089,16.5887,
73796732,201108,194,4,LY,32.8925,13.18,
73796733,201108,042,1,LY,32.8925,13.18,
73796666,201108,120,3,LY,25.0,17.0,
73796651,201108,090,2,LY,32.8925,13.18,
73796654,201108,100,3,LY,30.4062,19.5739,
73796655,201108,100,3,LY,32.8925,13.18,
73796656,201108,100,3,LY,31.2089,16.5887,
73796657,201108,100,3,LY,25.0,17.0,
73796658,201108,110,3,LY,32.8925,13.18,
73796659,201108,111,3,LY,32.1167,20.0667,
73796660,201108,111,3,LY,31.2089,16.5887,
73796661,201108,111,3,LY,32.8925,13.18,
73796662,201108,112,3,LY,32.8925,13.18,
73796663,201108,1123,3,LY,32.85,13.1667,
73796664,201108,1123,3,LY,32.8925,13.18,
73796665,201108,120,3,LY,32.8925,13.18,
73796558,201108,012,1,LY,32.8925,13.18,
73796667,201108,1243,3,LY,32.8925,13.18,
73796668,201108,128,3,LY,32.8925,13.18,
73796671,201108,130,3,LY,32.8925,13.18,
73796675,201108,1383,3,LY,32.8925,13.18,
73796676,201108,154,4,LY,32.8925,13.18,
73796677,201108,170,4,LY,32.8925,13.18,
73796678,201108,170,4,LY,25.0,17.0,
73796679,201108,171,4,LY,32.8925,13.18,
73796682,201108,173,4,LY,32.85,13.1667,
73796683,201108,173,4,LY,32.8925,13.18,
73796684,201108,173,4,LY,31.9582,12.0203,
73796685,201108,173,4,LY,32.8925,13.18,
73788851,201108,190,4,LY,32.8925,13.18,
73788682,201108,013,1,LY,25.0,17.0,
73788685,201108,040,1,LY,25.0,17.0,
73788686,201108,040,1,LY,32.8925,13.18,
73788687,201108,190,4,LY,32.8925,13.18,
73788711,201108,042,1,LY,32.8925,13.18,
73788716,201108,080,2,LY,32.8925,13.18,
73788717,201108,080,2,LY,32.8925,13.18,
73788843,201108,036,1,LY,29.9098,18.9941,
73788845,201108,040,1,LY,32.8925,13.18,
73788847,201108,040,1,LY,32.8925,13.18,
73788848,201108,040,1,LY,32.1167,20.0667,
73788849,201108,040,1,LY,32.8925,13.18,
73788850,201108,040,1,LY,32.8925,13.18,
73788609,201108,036,1,LY,32.8925,13.18,
73789158,201108,051,1,LY,32.8925,13.18,
73791872,201108,040,1,LY,32.8925,13.18,
73791873,201108,046,1,LY,32.8925,13.18,
73791874,201108,050,1,LY,32.8925,13.18,
73794113,201108,046,1,LY,32.8925,13.18,
