GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
117521686,201103,190,4,LY,30.5167,18.5667,
117521677,201103,111,3,LY,32.8925,13.18,
117521678,201103,111,3,LY,32.8925,13.18,
117521679,201103,112,3,LY,32.1167,20.0667,
117521680,201103,112,3,LY,30.4062,19.5739,
117521682,201103,120,3,LY,32.8925,13.18,
117521683,201103,138,3,LY,25.0,17.0,
117521684,201103,140,3,LY,32.8925,13.18,
117521685,201103,190,4,LY,32.1167,20.0667,
117521676,201103,110,3,LY,32.8925,13.18,
117521687,201103,190,4,LY,30.5167,18.5667,
117521688,201103,190,4,LY,32.8925,13.18,
117521689,201103,190,4,LY,30.5167,18.5667,
117521690,201103,190,4,LY,32.8925,13.18,
117521691,201103,190,4,LY,32.8925,13.18,
117521692,201103,190,4,AG,36.7631,3.05056,
117521693,201103,190,4,AG,36.7631,3.05056,
117521697,201103,192,4,LY,30.5167,18.5667,
117521674,201103,0831,2,LY,25.0,17.0,
117521672,201103,051,1,LY,32.8925,13.18,
117521670,201103,046,1,LY,30.4062,19.5739,
117521669,201103,030,1,LY,25.0,17.0,
117521022,201103,030,1,EG,30.05,31.25,
117521021,201103,030,1,EG,30.05,31.25,
117521017,201103,030,1,EG,27.0,30.0,
117521016,201103,030,1,LY,32.8925,13.18,
117521015,201103,030,1,LY,32.8925,13.18,
117521014,201103,030,1,EG,30.05,31.25,
117521013,201103,030,1,LY,32.8925,13.18,
117521012,201103,030,1,LY,30.5167,18.5667,
117521011,201103,030,1,LY,30.7555,20.2263,
117521010,201103,030,1,LY,32.8925,13.18,
117521009,201103,030,1,LY,32.1167,20.0667,
117522239,201103,062,2,LY,30.5167,18.5667,
117522225,201103,043,1,LY,30.7555,20.2263,
117522226,201103,043,1,LY,32.1167,20.0667,
117522227,201103,043,1,LY,31.2089,16.5887,
117522228,201103,043,1,LY,32.8925,13.18,
117522229,201103,046,1,LY,30.7555,20.2263,
117522230,201103,046,1,LY,32.8925,13.18,
117522232,201103,051,1,LY,30.5167,18.5667,
117522233,201103,051,1,LY,32.8925,13.18,
117522224,201103,039,1,LY,25.0,17.0,
117522240,201103,100,3,LY,30.5167,18.5667,
117522241,201103,100,3,LY,32.8925,13.18,
117522242,201103,100,3,LY,32.8925,13.18,
117522244,201103,100,3,LY,25.0,17.0,
117522247,201103,111,3,LY,32.8925,13.18,
117522248,201103,1123,3,LY,32.8925,13.18,
117522249,201103,120,3,LY,30.5167,18.5667,
117521008,201103,030,1,EG,30.05,31.25,
117522221,201103,039,1,LY,32.8925,13.18,
117522220,201103,036,1,LY,32.8925,13.18,
117522219,201103,036,1,LY,32.1167,20.0667,
117522218,201103,030,1,LY,25.0,17.0,
117522217,201103,025,1,LY,25.0,17.0,
117522216,201103,025,1,LY,30.7555,20.2263,
117522214,201103,020,1,LY,32.8925,13.18,
