GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
44204865,200212,192,4,IV,6.57974,-8.41091,
44203460,200212,1831,4,KE,-3.89733,39.7934,
44203461,200212,1831,4,KE,1.0,38.0,
44203471,200212,041,1,KE,-1.28333,36.8167,
44203481,200212,057,1,SU,15.5881,32.5342,
44203482,200212,057,1,KE,-1.28333,36.8167,
44204579,200212,114,3,IV,5.34111,-4.02806,
44204580,200212,186,4,IV,5.34111,-4.02806,
44204607,200212,010,1,SU,15.0,30.0,
44204860,200212,112,3,IV,7.38194,-6.47778,
44204861,200212,190,4,UG,2.44324,32.3818,
44204862,200212,190,4,IV,5.34111,-4.02806,
44204864,200212,190,4,SU,15.0,30.0,
44203459,200212,173,4,KE,1.0,38.0,
44204866,200212,196,4,IV,7.38194,-6.47778,
44205040,200212,112,3,IV,5.34111,-4.02806,
44206659,200212,036,1,TZ,-6.0,35.0,
44206660,200212,057,1,BY,-3.37611,29.36,
44206661,200212,120,3,BY,-3.37611,29.36,
44207692,200212,010,1,RW,-1.6779,29.3614,
44207898,200212,127,3,SU,15.0,30.0,
44207900,200212,010,1,SU,15.5881,32.5342,
44207901,200212,112,3,SU,15.5881,32.5342,
44207906,200212,051,1,SU,15.5881,32.5342,
44207918,200212,010,1,SU,15.5881,32.5342,
44198434,200212,010,1,IV,6.87736,-6.45022,
44196298,200212,011,1,IV,7.38194,-6.47778,
44196300,200212,120,3,IV,7.75414,-5.83577,
44196830,200212,173,4,KE,-3.89733,39.7934,
44196831,200212,173,4,KE,1.0,38.0,
44197221,200212,043,1,IV,6.87736,-6.45022,
44197222,200212,046,1,SL,8.5,-11.5,
44197223,200212,046,1,SL,8.5,-11.5,
44197224,200212,173,4,IV,6.74202,-7.34918,
44197771,200212,111,3,UG,1.0,32.0,
44198202,200212,190,4,ET,10.5,39.4167,
44198433,200212,010,1,CT,7.32892,16.9829,
44207919,200212,0332,1,UG,0.315556,32.5656,
44198436,200212,1712,4,IV,5.34111,-4.02806,
44198437,200212,1712,4,IV,5.34111,-4.02806,
44198474,200212,1712,4,IV,5.34111,-4.02806,
44198521,200212,1712,4,IV,5.34111,-4.02806,
44199977,200212,030,1,BY,-3.37611,29.36,
44199978,200212,046,1,IV,5.34111,-4.02806,
44199981,200212,190,4,IV,7.28174,-6.81449,
44199982,200212,190,4,IV,5.85056,-4.25533,
44200555,200212,114,3,IV,5.34111,-4.02806,
44200556,200212,186,4,IV,5.34111,-4.02806,
44203458,200212,173,4,KE,-3.89733,39.7934,
44509826,200212,057,1,SU,15.0,30.0,
44513739,200212,190,4,IV,5.34111,-4.02806,
44513343,200212,1821,4,RW,-2.0,30.0,
44513342,200212,1821,4,CT,4.36667,18.5833,
44512997,200212,190,4,BY,-3.7877,29.373,
44512994,200212,190,4,BY,-3.603,29.4995,
44512993,200212,190,4,BY,-3.37611,29.36,
44512300,200212,190,4,IV,9.45803,-5.62961,
44512299,200212,051,1,IV,9.45803,-5.62961,
44512298,200212,046,1,IV,5.34111,-4.02806,
44511546,200212,193,4,IV,6.74446,-7.02698,
44509840,200212,057,1,SU,15.0,30.0,
44509827,200212,057,1,SU,15.0,30.0,
44220632,200212,012,1,LY,32.8925,13.18,
44509825,200212,057,1,NI,6.45306,3.39583,
44509824,200212,046,1,NI,10.0,8.0,
44509823,200212,046,1,NI,9.08333,7.53333,
44509822,200212,046,1,NI,9.08333,7.53333,
44509821,200212,046,1,NI,10.0,8.0,
44509709,200212,020,1,CG,-4.32972,15.315,
44507839,200212,040,1,AG,35.3156,6.41041,
44507838,200212,040,1,AG,35.3156,6.41041,
44505235,200212,040,1,SU,15.5881,32.5342,
44505176,200212,190,4,KE,-1.28333,36.8167,
44505175,200212,190,4,KE,-1.51667,37.2667,
44211580,200212,0871,2,SG,14.0,-14.0,
44207922,200212,057,1,UG,1.0,32.0,
44207943,200212,036,1,TZ,-6.0,35.0,
44207944,200212,057,1,KE,-1.28333,36.8167,
44207962,200212,071,2,SL,8.5,-11.5,
44208653,200212,040,1,TZ,-6.0,35.0,
44208656,200212,051,1,BY,-3.37611,29.36,
44208657,200212,051,1,TZ,-6.0,35.0,
44211473,200212,040,1,MZ,-18.25,35.0,
44211575,200212,036,1,LI,6.99556,-9.47222,
44211576,200212,042,1,IV,5.34111,-4.02806,
44211577,200212,042,1,IV,5.34111,-4.02806,
44196297,200212,011,1,IV,6.87736,-6.45022,
44211581,200212,193,4,IV,9.89498,-6.59756,
44211582,200212,193,4,IV,8.28333,-7.68333,
44212143,200212,057,1,AO,-8.83833,13.2344,
44212496,200212,0256,1,BY,-3.37611,29.36,
44213563,200212,111,3,IV,8.0,-5.0,
44213568,200212,041,1,SG,14.7367,-17.6339,
44215078,200212,030,1,SU,15.5881,32.5342,
44217113,200212,046,1,SU,15.0,30.0,
44217118,200212,190,4,IV,5.34111,-4.02806,
44220591,200212,110,3,LI,6.3,-10.8,
44220596,200212,190,4,LI,6.5,-9.5,
44182714,200212,112,3,IV,5.34111,-4.02806,
44182427,200212,037,1,BY,-3.37611,29.36,
44182429,200212,046,1,TZ,-6.8,39.2833,
44182430,200212,046,1,LI,6.5,-9.5,
44182431,200212,046,1,SF,-29.0,24.0,
44182432,200212,056,1,CT,7.32201,18.3079,
44182433,200212,057,1,BY,-3.37611,29.36,
44182434,200212,057,1,SU,15.0,30.0,
44182435,200212,084,2,CT,7.32201,18.3079,
44182436,200212,0871,2,TZ,-6.0,35.0,
44182437,200212,112,3,IV,6.74202,-7.34918,
44182438,200212,120,3,UG,1.0,32.0,
44182439,200212,164,4,KE,1.0,38.0,
44181861,200212,040,1,IV,5.335,-3.91857,
44182715,200212,112,3,IV,5.34111,-4.02806,
44183427,200212,057,1,SU,15.0,30.0,
44185711,200212,150,4,KE,-1.28333,36.8167,
44186079,200212,190,4,LI,6.5,-9.5,
44186080,200212,190,4,LI,6.5,-9.5,
44186085,200212,190,4,LI,6.5,-9.5,
44187221,200212,130,3,UG,1.0,32.0,
44187224,200212,190,4,IV,5.34111,-4.02806,
44187225,200212,190,4,BY,-3.37611,29.36,
44187226,200212,190,4,SF,-29.0,24.0,
44187228,200212,190,4,BY,-3.37611,29.36,
44179547,200212,190,4,IV,7.25957,-8.15498,
44177875,200212,084,2,CT,4.36667,18.5833,
44177876,200212,125,3,CT,4.36667,18.5833,
44178600,200212,043,1,IV,6.87736,-6.45022,
44178601,200212,043,1,IV,8.28333,-7.68333,
44178604,200212,195,4,IV,7.38194,-6.47778,
44178605,200212,195,4,IV,7.38194,-6.47778,
44178668,200212,051,1,SF,-25.7069,28.2294,
44179302,200212,050,1,IV,5.34111,-4.02806,
44179455,200212,062,2,IV,7.25957,-8.15498,
44179544,200212,043,1,ET,8.0,38.0,
44179546,200212,190,4,IV,7.25957,-8.15498,
44188978,200212,110,3,BY,-3.37611,29.36,
44179576,200212,112,3,IV,5.34111,-4.02806,
44179577,200212,112,3,IV,5.34111,-4.02806,
44180233,200212,043,1,EG,30.4826,31.5565,
44180279,200212,125,3,ER,15.0,39.0,
44180422,200212,190,4,ET,7.26667,36.3167,
44180445,200212,190,4,ET,7.26667,36.3167,
44180851,200212,160,4,IV,5.335,-3.91857,
44180852,200212,160,4,IV,5.335,-3.91857,
44181745,200212,057,1,BY,-3.5,30.0,
44181859,200212,040,1,IV,5.335,-3.91857,
44181860,200212,040,1,IV,5.335,-3.91857,
44196221,200212,046,1,IV,5.335,-3.91857,
44194110,200212,0871,2,SG,14.7367,-17.6339,
44195130,200212,110,3,BY,-3.37611,29.36,
44195210,200212,042,1,IV,5.335,-3.91857,
44195684,200212,057,1,LY,25.0,17.0,
44196143,200212,042,1,IV,5.335,-3.91857,
44196148,200212,042,1,IV,8.0,-5.0,
44196149,200212,150,4,IV,8.0,-5.0,
44196215,200212,010,1,IV,6.87736,-6.45022,
44196216,200212,011,1,IV,7.28174,-6.81449,
44196217,200212,011,1,IV,6.87736,-6.45022,
44196218,200212,011,1,IV,7.38194,-6.47778,
44196219,200212,043,1,SG,14.7367,-17.6339,
44194109,200212,057,1,LY,25.0,17.0,
44196223,200212,111,3,IV,9.45803,-5.62961,
44196224,200212,111,3,IV,5.34111,-4.02806,
44196225,200212,112,3,IV,7.38194,-6.47778,
44196227,200212,114,3,IV,5.34111,-4.02806,
44196228,200212,120,3,IV,6.87736,-6.45022,
44196230,200212,141,3,IV,5.34111,-4.02806,
44196231,200212,186,4,IV,5.34111,-4.02806,
44196232,200212,190,4,IV,5.34111,-4.02806,
44196234,200212,112,3,IV,7.28174,-6.81449,
44196285,200212,010,1,IV,5.34111,-4.02806,
44196287,200212,0871,2,IV,5.335,-3.91857,
44191396,200212,032,1,UG,1.0,32.0,
44188979,200212,114,3,BY,-3.37611,29.36,
44188980,200212,110,3,IV,7.25957,-8.15498,
44190273,200212,043,1,ET,9.03333,38.7,
44190274,200212,046,1,SU,15.5881,32.5342,
44191163,200212,057,1,TZ,-3.36667,36.6833,
44191164,200212,057,1,BY,-3.5,30.0,
44191165,200212,0871,2,TZ,-3.36667,36.6833,
44191170,200212,0871,2,BY,-3.37611,29.36,
44191298,200212,057,1,BY,-3.37611,29.36,
44191394,200212,032,1,SU,15.5881,32.5342,
44191395,200212,032,1,SU,15.5881,32.5342,
44505168,200212,040,1,NI,6.45306,3.39583,
44191397,200212,110,3,SU,15.5881,32.5342,
44192975,200212,0356,1,BY,-3.37611,29.36,
44192976,200212,051,1,BY,-3.37611,29.36,
44192977,200212,057,1,BY,-3.37611,29.36,
44193011,200212,150,4,KE,-1.28333,36.8167,
44193015,200212,043,1,SU,15.5881,32.5342,
44193016,200212,043,1,EG,30.4826,31.5565,
44193890,200212,057,1,LY,25.0,17.0,
44194099,200212,030,1,AO,-12.5,18.5,
44194102,200212,036,1,NI,6.45306,3.39583,
44194103,200212,036,1,TZ,-6.0,35.0,
44470475,200212,043,1,EG,30.05,31.25,
44472690,200212,045,1,CT,4.36667,18.5833,
44472356,200212,190,4,CG,-1.67917,29.2228,
44472000,200212,130,3,ZA,-15.4167,28.2833,
44471999,200212,112,3,IV,6.74202,-7.34918,
44471998,200212,112,3,IV,6.74202,-7.34918,
44471997,200212,112,3,IV,5.34111,-4.02806,
44471996,200212,057,1,UG,3.46506,31.2469,
44470768,200212,190,4,LI,6.5,-9.5,
44470721,200212,190,4,LI,6.5,-9.5,
44470648,200212,040,1,IV,7.69385,-5.03031,
44470647,200212,040,1,IV,5.34111,-4.02806,
44470476,200212,026,1,EG,30.05,31.25,
44472941,200212,040,1,IV,5.34111,-4.02806,
44470474,200212,043,1,EG,30.05,31.25,
44470319,200212,112,3,AG,35.3156,6.41041,
