"Code","MonthYear","1","2","3","4"
"AG",199001,1,1,0,0
"AG",199002,4,0,0,0
"AG",199003,3,0,1,0
"AG",199004,0,0,0,1
"AG",199005,7,0,0,0
"AG",199006,4,6,0,0
"AG",199007,2,0,0,0
"AG",199008,0,0,0,0
"AG",199009,2,0,0,0
"AG",199010,2,0,0,0
"AG",199011,0,0,0,0
"AG",199012,2,0,1,0
"AG",199101,0,0,0,0
"AG",199102,0,0,0,0
"AG",199103,2,0,0,0
"AG",199104,1,0,1,0
"AG",199105,6,0,4,0
"AG",199106,11,2,3,2
"AG",199107,2,0,3,1
"AG",199108,0,3,1,2
"AG",199109,7,0,1,5
"AG",199110,0,0,0,0
"AG",199111,1,0,0,0
"AG",199112,7,0,2,4
"AG",199201,14,1,3,10
"AG",199202,1,0,0,0
"AG",199203,1,0,0,0
"AG",199204,2,1,0,0
"AG",199205,0,0,0,3
"AG",199206,4,1,0,1
"AG",199207,2,0,0,0
"AG",199208,0,0,0,0
"AG",199209,0,0,0,1
"AG",199210,0,0,0,0
"AG",199211,0,0,0,0
"AG",199212,2,1,0,6
"AG",199301,3,2,2,3
"AG",199302,1,0,0,2
"AG",199303,0,1,0,3
"AG",199304,1,1,1,2
"AG",199305,3,0,0,0
"AG",199306,0,0,0,0
"AG",199307,0,1,0,0
"AG",199308,0,4,0,0
"AG",199309,0,0,0,0
"AG",199310,0,0,0,0
"AG",199311,2,2,0,2
"AG",199312,1,4,0,0
"AG",199401,8,8,4,9
"AG",199402,0,3,2,3
"AG",199403,11,2,3,9
"AG",199404,1,4,0,0
"AG",199405,1,2,3,1
"AG",199406,2,0,1,1
"AG",199407,1,2,2,3
"AG",199408,7,6,2,7
"AG",199409,9,4,4,6
"AG",199410,1,6,5,5
"AG",199411,16,1,1,16
"AG",199412,4,3,0,11
"AG",199501,4,3,1,6
"AG",199502,8,8,6,4
"AG",199503,10,8,4,18
"AG",199504,4,5,2,6
"AG",199505,5,0,0,2
"AG",199506,1,2,1,3
"AG",199507,2,0,3,13
"AG",199508,5,3,9,5
