GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
27827456,199905,0874,2,BY,-3.5,30.0,
27824879,199905,173,4,SL,8.49,-13.2342,
27824885,199905,173,4,SL,8.49,-13.2342,
27825153,199905,100,3,SU,15.5881,32.5342,
27825154,199905,100,3,SU,15.5881,32.5342,
27825163,199905,138,3,UG,0.315556,32.5656,
27825179,199905,100,3,SU,15.5881,32.5342,
27826601,199905,1124,3,SG,14.7367,-17.6339,
27826602,199905,1124,3,SG,12.5833,-16.2719,
27827454,199905,0874,2,BY,-3.5,30.0,
27827455,199905,0874,2,BY,-3.5,30.0,
27824681,199905,173,4,SO,3.2198,43.6925,
27827459,199905,043,1,BY,-3.37611,29.36,
27828352,199905,0871,2,RW,-1.95361,30.0606,
27828353,199905,0871,2,RW,-1.95361,30.0606,
27829278,199905,190,4,UG,1.0,32.0,
27830083,199905,036,1,RW,-1.95361,30.0606,
27831279,199905,040,1,MZ,-18.4153,35.0225,
27831280,199905,080,2,MZ,-18.4153,35.0225,
27831281,199905,120,3,MZ,-18.4153,35.0225,
27834422,199905,190,4,UG,0.741389,30.0417,
27819497,199905,036,1,NI,9.08333,7.53333,
27815631,199905,084,2,SL,8.5,-11.5,
27816103,199905,193,4,AG,34.8504,5.72805,
27816104,199905,193,4,AG,34.8504,5.72805,
27816105,199905,193,4,AG,34.8504,5.72805,
27816163,199905,062,2,RW,-2.0,30.0,
27816164,199905,190,4,UG,-1.31667,29.9667,
27816194,199905,190,4,UG,-1.31667,29.9667,
27816207,199905,046,1,UG,0.315556,32.5656,
27818441,199905,043,1,CG,-4.32972,15.315,
27834423,199905,190,4,RW,-2.0,30.0,
27819498,199905,036,1,CG,-4.32972,15.315,
27819499,199905,036,1,RW,-2.0,30.0,
27820321,199905,190,4,AG,36.7899,3.01771,
27820413,199905,046,1,SL,8.26667,-12.6333,
27823079,199905,010,1,UG,0.654539,30.2882,
27824423,199905,138,3,RW,-2.0,30.0,
27824661,199905,084,2,SL,8.49,-13.2342,
27824666,199905,084,2,SL,8.49,-13.2342,
27824680,199905,173,4,SO,10.3169,50.4744,
27709537,199905,190,4,SL,8.49,-13.2342,
27712535,199905,013,1,SL,7.87667,-11.1875,
27712464,199905,014,1,SU,15.5881,32.5342,
27712459,199905,036,1,EG,30.05,31.25,
27712458,199905,012,1,SU,15.5881,32.5342,
27710274,199905,016,1,MZ,-25.9653,32.5892,
