"","M1","M2","M3","Best","Worst"
"Algeria",7.83914822144246,8.62020348906411,8.26311625056418,"M1","M2"
"Angola",3.34790062626321,2.06839897638262,1.86791011959994,"M3","M1"
"Burundi",2.8329344943323,1.57349089713478,1.5047567030396,"M3","M1"
"Chad",6.05665145554923,5.3242909280333,5.19801315595856,"M3","M1"
"Congo",30.4830188737195,27.473621238714,26.1476090061167,"M3","M1"
"Democratic Republic of the Congo",10.8786887976699,8.91269030241802,8.18064041532967,"M3","M1"
"Central African Republic",31.5522345517372,43.8753457042157,39.8987555255659,"M1","M2"
"Egypt",109.937231115259,103.306461098396,101.978256296351,"M3","M1"
"Eritrea",1.29590928992378,1.24863521102335,1.10715331927156,"M3","M1"
"Ethiopia",15.6250195163186,15.6688116557105,14.0326440144175,"M3","M2"
"Cote d'Ivoire",4.49903908987029,3.16335971624277,2.44893126193041,"M3","M1"
"Kenya",13.0489606100768,12.3502232492049,13.0840477500128,"M2","M3"
"Liberia",2.68062666222294,2.8309617223923,2.54069418297875,"M3","M2"
"Libya",370.624767496148,60.8732068123448,45.4266802156643,"M3","M1"
"Mozambique",27.6684648955521,29.2283362677635,30.8362361740669,"M1","M3"
"Nigeria",53.5069218995249,59.2564397931075,64.4996753747766,"M1","M3"
"Rwanda",12.8276878755624,17.0152215376295,15.9843594654034,"M1","M2"
"South Africa",25.8387882273115,24.3390839717041,21.5540657239283,"M3","M1"
"Senegal",3.54083031075665,3.79831934931247,3.5494458619198,"M1","M2"
"Sierra Leone",4.36583451257182,2.97452727739327,2.72821776600091,"M3","M1"
"Somalia",11.8754949601364,13.7196899141967,12.6982270381205,"M1","M2"
"Sudan",38.3931056315178,40.428995343219,40.068092626188,"M1","M2"
"Tanzania",2.56015839035451,2.80963425655863,2.42384608806482,"M3","M2"
"Uganda",22.5898458904775,23.6762129001241,22.5805214239499,"M3","M2"
"Zambia",3.06022024109749,2.11435788283508,2.18489627090144,"M2","M1"
"Zimbabwe",3.50264690269308,3.58177693792821,3.4828925200878,"M3","M2"
