"","M1","M2","M3","Best","Worst"
"Algeria",10.7850983021817,26.364612656941,13.4609244374217,"M1","M2"
"Angola",4.06624013684253,5.47746028456068,2.66137880635974,"M3","M2"
"Burundi",5.19280912442518,4.88161008459521,2.10871871585594,"M3","M1"
"Chad",9.66878910926657,16.5872315740573,7.60681258610934,"M3","M2"
"Congo",47.1660626040631,88.2699129698233,49.7790442137323,"M1","M2"
"Democratic Republic of the Congo",14.3226307814597,22.9088316175597,11.8999703215899,"M3","M2"
"Central African Republic",46.857538349217,152.171890081552,59.8628227154264,"M1","M2"
"Egypt",77.4521099310418,395.58447790504,70.8151341193349,"M3","M2"
"Eritrea",1.03185156518644,3.43084651699315,1.05164178801813,"M1","M2"
"Ethiopia",16.6920675478423,51.648845015262,15.5290587685441,"M3","M2"
"Cote d'Ivoire",6.014303265183,8.79688870836146,3.7016671558925,"M3","M2"
"Kenya",25.8096275027696,40.6279071803797,25.0455462415126,"M3","M2"
"Liberia",4.13769729206792,8.75474868738692,3.10916583434602,"M3","M2"
"Libya",570.751710852834,177.928060339463,51.9221198814616,"M3","M1"
"Mozambique",29.4269170202855,109.127483951538,31.4260478434451,"M1","M2"
"Nigeria",108.438133355954,219.056553317135,135.967754354497,"M1","M2"
"Rwanda",16.2334319266693,60.473562911035,23.5392003921267,"M1","M2"
"South Africa",26.0873341394531,75.2791918293962,26.5961363223308,"M1","M2"
"Senegal",4.24597692213926,9.60017646079403,4.17452345557925,"M3","M2"
"Sierra Leone",6.53568736231421,9.54964937102872,3.83005631685866,"M3","M2"
"Somalia",25.3111322604747,39.541445167757,25.3133021320988,"M1","M2"
"Sudan",57.8392991884509,130.421102207239,56.4084569864445,"M3","M2"
"Tanzania",3.253431283332,9.86096995121837,3.33692427410024,"M1","M2"
"Uganda",30.7048027426835,83.8068094152516,32.9526312796298,"M1","M2"
"Zambia",2.12289627126948,6.33524353853259,1.40775494784439,"M3","M2"
"Zimbabwe",4.07185861457765,9.51557871334237,4.30701882718223,"M1","M2"
