"","Naive","M1","M2","M3","Best","Worst"
"AG",37.7391304347826,30.7689597298029,26.364612656941,23.3354261134044,"M3","Naive"
"AO",6.52173913043478,6.47077689031345,5.47746028456068,6.21121375639689,"M2","Naive"
"BY",6.34782608695652,5.58954482751001,4.88161008459521,6.34965216875436,"M2","M3"
"CD",13.7826086956522,27.8754239454221,16.5872315740573,14.5781294739066,"Naive","M1"
"CF",85.9130434782609,63.6582958383118,88.2699129698233,74.190958452193,"M1","M2"
"CG",27.4782608695652,42.4773379757661,22.9088316175597,26.0147579388121,"M2","M1"
"CT",108.391304347826,104.015516726362,152.171890081552,111.8527799141,"M1","M2"
"EG",417.608695652174,409.918295444766,395.58447790504,393.823931651803,"M3","Naive"
"ER",4.47826086956522,3.76503315958587,3.43084651699315,3.41517825282958,"M3","Naive"
"ET",59.6086956521739,53.6082057230117,51.648845015262,47.5015346477814,"M3","Naive"
"IV",6.08695652173913,9.00476681180373,8.79688870836146,8.20266442652988,"Naive","M1"
"KE",58.6521739130435,52.9831060877907,40.6279071803797,42.5458065388177,"M2","Naive"
"LI",6.91304347826087,6.35598013337923,8.75474868738692,7.5125311450174,"M1","M2"
"LY",105.739130434783,194.79223095953,177.928060339463,136.166473698373,"Naive","M1"
"MZ",126.130434782609,108.23363080137,109.127483951538,120.108725537388,"M1","Naive"
"NI",243.086956521739,267.077014205945,219.056553317135,236.533352938957,"M2","M1"
"RW",60.6086956521739,47.8415164460089,60.473562911035,59.3277577434303,"M1","Naive"
"SF",98.1739130434783,106.710161711267,75.2791918293962,77.6937025007585,"M2","M1"
"SG",12.6521739130435,10.5351626466049,9.60017646079403,8.67700108964351,"M3","Naive"
"SL",8.34782608695652,9.94093866655183,9.54964937102872,10.7681811023891,"Naive","M3"
"SO",44.695652173913,41.8676135872262,39.541445167757,41.426747238432,"M2","Naive"
"SU",137.304347826087,132.161759782284,130.421102207239,129.106463870842,"M3","Naive"
"TZ",10.0869565217391,8.70551094490746,9.86096995121837,9.57703435293628,"M1","Naive"
"UG",93.304347826087,85.8520063264281,83.8068094152516,87.2292260962259,"M2","Naive"
"ZA",7.73913043478261,8.2460361457047,6.33524353853259,6.26491848822378,"M3","M1"
"ZI",11.2608695652174,11.1438260962506,9.51557871334237,10.0535035966762,"M2","Naive"
