"","Naive","M1","M2","M3","Best","Worst"
"AG",37.7391304347826,30.7689597298029,803.076967676358,23.3354261134044,"M3","Naive"
"AO",6.52173913043478,6.47077689031345,253.576989039944,6.21121375639689,"M3","Naive"
"BY",6.34782608695652,5.58954482751001,200.927147933427,6.34965216875436,"M1","M3"
"CD",13.7826086956522,27.8754239454221,634.079187164204,14.5781294739066,"Naive","M1"
"CF",85.9130434782609,63.6582958383118,2793.27241506429,74.190958452193,"M1","Naive"
"CG",27.4782608695652,42.4773379757661,1056.53635213272,26.0147579388121,"M3","M1"
"CT",108.391304347826,104.015516726362,2825.19991369967,111.8527799141,"M1","M3"
"EG",417.608695652174,409.918295444766,12502.5605402324,393.823931651803,"M3","Naive"
"ER",4.47826086956522,3.76503315958587,103.765097366074,3.41517825282958,"M3","Naive"
"ET",59.6086956521739,53.6082057230117,1511.86922120307,47.5015346477814,"M3","Naive"
"IV",6.08695652173913,9.00476681180373,231.697866436539,8.20266442652988,"Naive","M1"
"KE",58.6521739130435,52.9831060877907,1533.07011087333,42.5458065388177,"M3","Naive"
"LI",6.91304347826087,6.35598013337923,309.142172941152,7.5125311450174,"M1","M3"
"LY",105.739130434783,194.79223095953,5472.72562783864,136.166473698373,"Naive","M1"
"MZ",126.130434782609,108.23363080137,2448.9417976964,120.108725537388,"M1","Naive"
"NI",243.086956521739,267.077014205945,7669.57699224581,236.533352938957,"M3","M1"
"RW",60.6086956521739,47.8415164460089,2032.657498451,59.3277577434303,"M1","Naive"
"SF",98.1739130434783,106.710161711267,2276.93817678794,77.6937025007585,"M3","M1"
"SG",12.6521739130435,10.5351626466049,309.22342162061,8.67700108964351,"M3","Naive"
"SL",8.34782608695652,9.94093866655183,384.553734446302,10.7681811023891,"Naive","M3"
"SO",44.695652173913,41.8676135872262,2528.47239818708,41.426747238432,"M3","Naive"
"SU",137.304347826087,132.161759782284,9078.33597308464,129.106463870842,"M3","Naive"
"TZ",10.0869565217391,8.70551094490746,221.11526642725,9.57703435293628,"M1","Naive"
"UG",93.304347826087,85.8520063264281,3451.06450738569,87.2292260962259,"M1","Naive"
"ZA",7.73913043478261,8.2460361457047,209.99451695903,6.26491848822378,"M3","M1"
"ZI",11.2608695652174,11.1438260962506,368.212125228325,10.0535035966762,"M3","Naive"
