GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
296138906,201405,190,4,SU,15.0,30.0,
296139016,201405,013,1,SU,15.5881,32.5342,
296138966,201405,190,4,NI,10.8658,12.847,
296138923,201405,190,4,SU,15.0,30.0,
296138919,201405,190,4,ET,9.03333,38.7,
296138916,201405,013,1,SU,15.0,30.0,
296138915,201405,180,4,ET,9.03333,38.7,
296138913,201405,190,4,SU,15.0,30.0,
296138912,201405,192,4,SU,15.0,30.0,
296138910,201405,192,4,SU,15.0,30.0,
296138909,201405,192,4,SU,15.0,30.0,
296139017,201405,013,1,SU,15.5881,32.5342,
296138905,201405,190,4,SU,15.0,30.0,
296138900,201405,190,4,SU,15.0,30.0,
296138898,201405,190,4,AO,-8.83833,13.2344,
296138897,201405,080,2,SU,15.0,30.0,
296138893,201405,080,2,SU,15.5881,32.5342,
296138891,201405,042,1,SU,15.0,30.0,
296138889,201405,016,1,SU,15.0,30.0,
296138887,201405,016,1,SU,15.5881,32.5342,
296138886,201405,201,4,NI,6.59422,3.33748,
296138881,201405,112,3,SU,15.0,30.0,
296139041,201405,190,4,CT,4.36667,18.5833,
296139104,201405,192,4,SU,15.0,30.0,
296139090,201405,193,4,SU,15.0,30.0,
296139086,201405,192,4,SU,15.0,30.0,
296139084,201405,192,4,SU,15.0,30.0,
296139079,201405,042,1,SU,15.0,30.0,
296139077,201405,042,1,SU,15.5881,32.5342,
296139076,201405,042,1,SU,15.5881,32.5342,
296139047,201405,190,4,CT,7.0,21.0,
296139046,201405,190,4,CT,4.36667,18.5833,
296139042,201405,190,4,CT,7.0,21.0,
296138879,201405,046,1,SU,15.0,30.0,
296139039,201405,190,4,CT,7.0,21.0,
296139037,201405,190,4,CT,4.36667,18.5833,
296139035,201405,040,1,ET,8.0,38.0,
296139034,201405,026,1,ET,8.0,38.0,
296139033,201405,040,1,ET,8.0,38.0,
296139032,201405,026,1,ET,8.0,38.0,
296139030,201405,141,3,SF,-26.0833,28.25,
296139029,201405,110,3,SF,-26.0833,28.25,
296139028,201405,042,1,SF,-33.9167,18.4167,
296139022,201405,190,4,SU,15.0,30.0,
296138752,201405,050,1,NI,10.8658,12.847,
296138817,201405,1831,4,NI,11.747,11.9608,
296138816,201405,181,4,NI,6.67835,8.96993,
296138815,201405,181,4,NI,10.8658,12.847,
296138814,201405,181,4,NI,11.4833,10.9667,
296138813,201405,181,4,NI,9.08333,7.53333,
296138795,201405,190,4,NI,10.0,8.0,
296138772,201405,110,3,SU,15.0,30.0,
296138771,201405,110,3,SU,15.0,30.0,
296138770,201405,110,3,SU,15.0,30.0,
296138769,201405,110,3,SU,15.5881,32.5342,
296138818,201405,1831,4,NI,11.747,11.9608,
296138744,201405,190,4,LY,32.8925,13.18,
296138743,201405,1831,4,LY,32.8925,13.18,
296138742,201405,190,4,LY,25.0,17.0,
296138741,201405,190,4,LY,32.8925,13.18,
296138740,201405,192,4,LY,32.8925,13.18,
296138739,201405,190,4,LY,25.0,17.0,
296138738,201405,190,4,LY,32.8925,13.18,
296138705,201405,051,1,ET,8.0,38.0,
296138703,201405,190,4,SU,15.0,30.0,
296138702,201405,190,4,SU,15.0,30.0,
296138859,201405,041,1,SU,15.5881,32.5342,
296138878,201405,046,1,SU,15.0,30.0,
296138876,201405,043,1,ET,8.0,38.0,
