GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
74187316,201108,046,1,LY,32.8925,13.18,
74187299,201108,013,1,LY,32.6833,13.1833,
74187301,201108,016,1,LY,32.8925,13.18,
74187302,201108,020,1,LY,32.8925,13.18,
74187305,201108,020,1,LY,32.8925,13.18,
74187306,201108,040,1,LY,31.2089,16.5887,
74187308,201108,042,1,LY,32.85,13.1667,
74187310,201108,042,1,LY,32.8925,13.18,
74187311,201108,043,1,LY,32.8925,13.18,
74187312,201108,043,1,LY,31.2089,16.5887,
74187313,201108,043,1,LY,32.8925,13.18,
74187314,201108,043,1,LY,32.8925,13.18,
74187315,201108,046,1,LY,32.8925,13.18,
74187298,201108,013,1,LY,32.6833,13.1833,
74187317,201108,050,1,LY,31.2089,16.5887,
74187318,201108,050,1,LY,32.8925,13.18,
74187319,201108,050,1,LY,32.8925,13.18,
74187320,201108,050,1,LY,32.8925,13.18,
74187321,201108,051,1,LY,32.8925,13.18,
74187322,201108,051,1,LY,32.8925,13.18,
74187324,201108,080,2,LY,31.7566,13.9942,
74187325,201108,080,2,LY,31.2089,16.5887,
74187326,201108,080,2,LY,32.8925,13.18,
74187327,201108,084,2,LY,32.85,13.1667,
74187328,201108,090,2,LY,32.875,13.175,
74187329,201108,090,2,LY,31.2089,16.5887,
74187273,201108,100,3,LY,32.1167,20.0667,
74187259,201108,020,1,ET,9.03333,38.7,
74187260,201108,020,1,RW,-2.0,30.0,
74187261,201108,112,3,NI,9.08333,7.53333,
74187262,201108,020,1,LY,32.8925,13.18,
74187263,201108,010,1,LY,31.2089,16.5887,
74187264,201108,010,1,LY,31.2089,16.5887,
74187265,201108,010,1,LY,32.8925,13.18,
74187266,201108,012,1,LY,31.2089,16.5887,
74187267,201108,012,1,LY,32.8925,13.18,
74187270,201108,090,2,LY,32.8925,13.18,
74187271,201108,100,3,LY,32.1167,20.0667,
74187272,201108,100,3,LY,31.2089,16.5887,
74187330,201108,090,2,LY,31.2089,16.5887,
74187274,201108,100,3,LY,31.2089,16.5887,
74187276,201108,195,4,LY,32.8925,13.18,
74187287,201108,1712,4,NI,7.41278,3.78472,
74187288,201108,1712,4,NI,7.41278,3.78472,
74187289,201108,010,1,LY,31.2089,16.5887,
