"","M1","M2","M3","Best","Worst"
"2013-01-01",40.34635337326,18.8115987641155,16.502483424076,"M3","M1"
"2013-02-01",13.3487698923595,14.7186324322465,14.9979701246288,"M1","M3"
"2013-03-01",22.6529684083527,20.1781878042314,20.0125072563045,"M3","M1"
"2013-04-01",18.4799812695859,21.6434696872331,19.5289759879769,"M1","M2"
"2013-05-01",11.0894396510008,14.484303147605,13.0207533366415,"M1","M2"
"2013-06-01",11.6170010341339,14.4658354807788,13.8491585661251,"M1","M2"
"2013-07-01",28.289919865598,19.6785773956575,19.5368174576067,"M3","M1"
"2013-08-01",18.6418507628634,13.6602788017228,12.8426204743422,"M3","M1"
"2013-09-01",21.8834194085478,16.2431444483235,15.3372022223314,"M3","M1"
"2013-10-01",27.9585167153267,19.0814973692242,18.7605398181093,"M3","M1"
"2013-11-01",34.7773716235836,22.639984186739,22.6803376900375,"M2","M1"
"2013-12-01",31.67555245763,21.0479791641573,21.1219175787559,"M2","M1"
"2014-01-01",26.9318106395862,20.6506832334969,20.1762536916648,"M3","M1"
"2014-02-01",15.4659243590207,15.3159279597462,13.0761452261808,"M3","M1"
"2014-03-01",15.2334879029,17.0986847376637,15.0696940752008,"M3","M2"
"2014-04-01",89.4401230589034,19.6225608874045,16.0151566934919,"M3","M1"
"2014-05-01",26.6628468659334,20.9115012941299,18.8063727236358,"M3","M1"
"2014-06-01",36.2560955471107,18.1381871157006,17.2286445318778,"M3","M1"
"2014-07-01",82.5286468904218,37.0385452232922,37.4801686565153,"M2","M1"
"2014-08-01",59.5986695635642,24.0187412412466,22.472243330813,"M3","M1"
"2014-09-01",33.8301216904234,27.1103178325878,26.0122526043366,"M3","M1"
"2014-10-01",20.4722105748908,17.6402130159908,17.9863056382323,"M2","M1"
"2014-11-01",38.5858031517749,26.0066417751729,24.7240459932231,"M3","M1"
