"","Naive","M1","M2","M3","Best","Worst"
"2013-01-01",58.0384615384615,47.7511058118948,64.693096309539,54.9628367121378,"M1","M2"
"2013-02-01",48.7692307692308,41.3399886114909,53.2489271995743,42.97320844508,"M1","M2"
"2013-03-01",63.8076923076923,67.8077203116637,64.799609157138,80.4634162585139,"Naive","M3"
"2013-04-01",77.5769230769231,68.5882645166615,78.2523110236781,63.0649215622998,"M3","M2"
"2013-05-01",37,32.3260680405098,41.6384084827676,36.3081829896993,"M1","M2"
"2013-06-01",47.5,41.2015550018457,48.2458687088185,39.2667224997997,"M3","M2"
"2013-07-01",74.7692307692308,82.5065912377223,73.9335888401571,76.3789961260026,"M2","M1"
"2013-08-01",47.3076923076923,74.5063769781519,44.1465167990018,41.1772139500563,"M3","M1"
"2013-09-01",56.5,58.8031126379271,56.0845577730687,46.0860036377551,"M3","M1"
"2013-10-01",65.9230769230769,72.1232676303552,59.2016028442075,63.6197362974902,"M2","M1"
"2013-11-01",70.2692307692308,73.179330737488,85.3551594870121,70.5159977695822,"Naive","M2"
"2013-12-01",79.9230769230769,65.2889338757863,73.3674195702567,68.4136090205016,"M1","Naive"
"2014-01-01",69.1538461538462,66.9226575674531,74.6333684499656,76.5854992230192,"M1","M3"
"2014-02-01",58.4230769230769,54.6677323145783,46.3881118228318,42.8963183619012,"M3","Naive"
"2014-03-01",47.7692307692308,51.4421694074525,48.9889013150257,49.6122384331233,"Naive","M1"
"2014-04-01",47,93.7773391741152,56.2320711674939,50.0708938856805,"Naive","M1"
"2014-05-01",48.8846153846154,61.7882760533263,63.2724591343851,63.3383082778122,"Naive","M3"
"2014-06-01",81.8461538461538,85.2235621910122,61.4575893556758,64.347810710335,"M2","M1"
"2014-07-01",157.961538461538,173.049790772141,127.150371969717,147.008078970826,"M2","M1"
"2014-08-01",62.3076923076923,55.2632939887693,83.6831040087849,71.144181978196,"M1","M2"
"2014-09-01",122,106.257537052704,97.3152896612828,93.2897664606366,"M3","Naive"
"2014-10-01",65.8846153846154,59.3184048028325,61.2584999600302,54.8051507731488,"M3","Naive"
"2014-11-01",102.5,103.050343865649,98.8849008247265,106.16152353703,"M2","M3"
