GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
8450839,199001,193,4,SU,15.5881,32.5342,
8441826,199001,190,4,ER,15.6097,39.45,
8441827,199001,190,4,ET,8.0,38.0,
231579673,199001,040,1,ZA,-15.4167,28.2833,
8444959,199001,190,4,ER,15.6097,39.45,
8444960,199001,190,4,ET,8.0,38.0,
8446735,199001,190,4,ET,11.5,40.0,
231580761,199001,194,4,SU,15.5881,32.5342,
231580762,199001,194,4,ET,8.0,38.0,
231580763,199001,190,4,SU,15.5881,32.5342,
231580764,199001,190,4,SU,15.5881,32.5342,
231580787,199001,190,4,SU,15.5881,32.5342,
231580788,199001,190,4,SU,15.5881,32.5342,
231580793,199001,080,2,SO,2.06667,45.3667,
8441809,199001,181,4,ER,15.6097,39.45,
8450841,199001,014,1,AO,-11.622,16.5445,
8450842,199001,014,1,AO,-11.622,16.5445,
8450843,199001,030,1,AO,-11.622,16.5445,
8450849,199001,030,1,AO,-11.622,16.5445,
8450850,199001,030,1,AO,-11.622,16.5445,
8450851,199001,110,3,AO,-8.83833,13.2344,
8450853,199001,020,1,SU,15.5881,32.5342,
8450854,199001,193,4,IV,7.25957,-8.15498,
8450855,199001,193,4,IV,7.25957,-8.15498,
8450856,199001,193,4,KE,-1.28333,36.8167,
8450863,199001,190,4,LI,7.48889,-8.57083,
8450864,199001,190,4,LI,7.48889,-8.57083,
8434551,199001,190,4,SO,2.06667,45.3667,
8424869,199001,057,1,SU,15.5881,32.5342,
231576351,199001,051,1,SF,-29.0,24.0,
8426740,199001,190,4,EG,27.0,30.0,
8428064,199001,042,1,SF,-26.5559,22.5301,
8428065,199001,042,1,ZA,-15.4167,28.2833,
231576980,199001,112,3,SU,17.6001,33.9266,
8431137,199001,015,1,KE,-1.28333,36.8167,
8431138,199001,194,4,SO,9.56,44.065,
8431143,199001,190,4,SO,9.56,44.065,
8431148,199001,112,3,SO,2.06667,45.3667,
8434023,199001,190,4,MZ,-25.9653,32.5892,
8434024,199001,190,4,MZ,-25.9653,32.5892,
8434294,199001,050,1,ET,11.6333,38.0667,
8450867,199001,192,4,IV,7.25957,-8.15498,
8436819,199001,190,4,AO,-15.8,20.35,
8439069,199001,051,1,ET,9.03333,38.7,
8439070,199001,051,1,ET,9.03333,38.7,
8439072,199001,051,1,ET,9.03333,38.7,
231579064,199001,042,1,SF,-29.0,24.0,
231579065,199001,173,4,SF,-29.0,24.0,
231579067,199001,173,4,SF,-29.0,24.0,
8440399,199001,190,4,ER,15.6097,39.45,
8440400,199001,190,4,ER,15.6097,39.45,
8441806,199001,1712,4,ER,15.6097,39.45,
8441807,199001,1712,4,ER,15.6097,39.45,
8441808,199001,181,4,ER,15.6097,39.45,
8459794,199001,040,1,AO,-8.83833,13.2344,
8456030,199001,017,1,SF,-33.8064,18.3688,
8456033,199001,014,1,AO,-12.5,18.5,
8456035,199001,042,1,AO,-12.5,18.5,
8456039,199001,190,4,UG,0.315556,32.5656,
