GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
154504504,200901,193,4,NI,5.5,6.0,
154504488,200901,192,4,SU,15.5881,32.5342,
154504489,200901,040,1,SO,2.06667,45.3667,
154504490,200901,042,1,SO,2.06667,45.3667,
154504491,200901,042,1,ET,9.03333,38.7,
154504492,200901,190,4,SO,2.06667,45.3667,
154504493,200901,190,4,SO,2.08333,42.1667,
154504494,200901,073,2,SO,2.06667,45.3667,
154504496,200901,193,4,SO,2.06667,45.3667,
154504497,200901,193,4,ET,8.0,38.0,
154504498,200901,100,3,UG,1.0,32.0,
154504499,200901,100,3,SU,15.0,30.0,
154504503,200901,190,4,SU,15.5881,32.5342,
154504487,200901,190,4,SU,15.5881,32.5342,
154504505,200901,051,1,UG,0.315556,32.5656,
154504507,200901,190,4,SU,15.5881,32.5342,
154504508,200901,190,4,NI,6.45,3.41667,
154504513,200901,110,3,SO,3.11383,43.6498,
154507666,200901,112,3,SU,15.5881,32.5342,
154507667,200901,190,4,SU,15.5881,32.5342,
154507668,200901,010,1,SU,15.0,30.0,
154507669,200901,046,1,SU,15.0,30.0,
154507670,200901,190,4,SU,15.5881,32.5342,
154507718,200901,112,3,ET,9.03333,38.7,
154507719,200901,112,3,SO,3.96983,42.4412,
154507720,200901,112,3,ET,9.03333,38.7,
154504431,200901,190,4,SU,13.0,25.0,
154504391,200901,040,1,KE,-1.28333,36.8167,
154504408,200901,130,3,SU,15.5881,32.5342,
154504409,200901,130,3,UG,1.0,32.0,
154504412,200901,110,3,ET,8.0,38.0,
154504413,200901,190,4,SO,2.06667,45.3667,
154504414,200901,190,4,SO,2.06667,45.3667,
154504415,200901,190,4,ET,9.03333,38.7,
154504416,200901,190,4,SO,2.06667,45.3667,
154504421,200901,080,2,UG,3.8,32.55,
154504422,200901,100,3,SO,2.06667,45.3667,
154504426,200901,110,3,ET,8.0,38.0,
154504430,200901,190,4,SU,15.5881,32.5342,
154508267,200901,043,1,SU,15.5881,32.5342,
154504432,200901,193,4,ET,8.0,38.0,
154504433,200901,190,4,SU,15.5881,32.5342,
154504443,200901,100,3,SU,13.0,25.0,
154504444,200901,154,4,SU,13.0,25.0,
154504455,200901,013,1,SU,13.0,25.0,
154504456,200901,051,1,KE,-1.28333,36.8167,
154504457,200901,051,1,KE,-1.28333,36.8167,
154504459,200901,112,3,SU,13.0,25.0,
154504466,200901,190,4,SU,15.0,30.0,
154504467,200901,193,4,NI,5.5,6.0,
154504485,200901,046,1,SU,15.5881,32.5342,
154504486,200901,057,1,SU,15.5881,32.5342,
154580706,200901,180,4,EG,27.0,30.0,
154573978,200901,030,1,MZ,-15.1197,39.2647,
154573979,200901,042,1,MZ,-16.0986,35.77,
154573980,200901,050,1,MZ,-16.0986,35.77,
154573981,200901,050,1,MZ,-16.0986,35.77,
154580620,200901,010,1,EG,30.05,31.25,
154580624,200901,010,1,EG,30.05,31.25,
154580632,200901,013,1,EG,30.05,31.25,
154580654,200901,0356,1,EG,30.05,31.25,
