"Code","MonthYear","X","VC","MC","VV","MV","N","Sum","Srat","c.VC","c.MC","c.VV","c.MV"
"AG",199001,1,0,0,0,0,196,0,0,1,1,0,0
"AG",199002,2,2,0,0,0,128,2,0.015625,4,0,0,0
"AG",199003,3,5,0,0,1,234,6,0.0256410256410256,3,0,1,0
"AG",199004,4,3,0,0,0,124,3,0.0241935483870968,0,0,0,1
"AG",199005,5,6,0,1,0,234,7,0.0299145299145299,7,0,0,0
"AG",199006,6,2,0,0,0,388,2,0.00515463917525773,4,6,0,0
"AG",199007,7,0,0,0,0,191,0,0,2,0,0,0
"AG",199008,8,1,0,0,0,306,1,0.00326797385620915,0,0,0,0
"AG",199009,9,0,0,1,0,206,1,0.00485436893203883,2,0,0,0
"AG",199010,10,0,0,1,0,175,1,0.00571428571428571,2,0,0,0
"AG",199011,11,4,0,0,0,210,4,0.019047619047619,0,0,0,0
"AG",199012,12,0,0,0,0,517,0,0,2,0,1,0
"AG",199101,13,0,0,0,0,653,0,0,0,0,0,0
"AG",199102,14,0,0,0,0,444,0,0,0,0,0,0
"AG",199103,15,2,1,0,0,308,3,0.00974025974025974,2,0,0,0
"AG",199104,16,0,0,0,0,244,0,0,1,0,1,0
"AG",199105,17,5,1,2,0,266,8,0.0300751879699248,6,0,4,0
"AG",199106,18,12,3,3,0,894,18,0.0201342281879195,11,2,3,2
"AG",199107,19,3,2,6,1,777,12,0.0154440154440154,2,0,3,1
"AG",199108,20,1,0,2,3,444,6,0.0135135135135135,0,3,1,2
"AG",199109,21,3,0,4,0,661,7,0.010590015128593,7,0,1,5
"AG",199110,22,0,0,3,0,224,3,0.0133928571428571,0,0,0,0
"AG",199111,23,0,0,0,1,238,1,0.00420168067226891,1,0,0,0
"AG",199112,24,12,1,4,3,488,20,0.040983606557377,7,0,2,4
"AG",199201,25,30,1,9,5,1579,45,0.0284990500316656,14,1,3,10
"AG",199202,26,0,0,0,0,368,0,0,1,0,0,0
"AG",199203,27,1,0,4,0,326,5,0.0153374233128834,1,0,0,0
"AG",199204,28,6,0,0,0,474,6,0.0126582278481013,2,1,0,0
"AG",199205,29,0,0,0,0,315,0,0,0,0,0,3
"AG",199206,30,4,0,0,2,490,6,0.0122448979591837,4,1,0,1
"AG",199207,31,3,0,0,1,310,4,0.0129032258064516,2,0,0,0
"AG",199208,32,0,0,0,0,156,0,0,0,0,0,0
"AG",199209,33,0,0,2,0,79,2,0.0253164556962025,0,0,0,1
"AG",199210,34,0,1,0,0,127,1,0.0078740157480315,0,0,0,0
"AG",199211,35,0,0,0,0,118,0,0,0,0,0,0
"AG",199212,36,1,0,0,2,203,3,0.0147783251231527,2,1,0,6
"AG",199301,37,1,0,2,1,292,4,0.0136986301369863,3,2,2,3
"AG",199302,38,0,0,1,2,342,3,0.0087719298245614,1,0,0,2
"AG",199303,39,0,0,0,1,344,1,0.00290697674418605,0,1,0,3
"AG",199304,40,1,0,0,2,266,3,0.0112781954887218,1,1,1,2
"AG",199305,41,1,0,0,5,371,6,0.0161725067385445,3,0,0,0
"AG",199306,42,0,0,1,0,362,1,0.00276243093922652,0,0,0,0
"AG",199307,43,2,0,0,0,337,2,0.00593471810089021,0,1,0,0
"AG",199308,44,0,0,0,0,272,0,0,0,4,0,0
"AG",199309,45,2,1,0,2,141,5,0.0354609929078014,0,0,0,0
"AG",199310,46,2,0,1,0,279,3,0.010752688172043,0,0,0,0
"AG",199311,47,5,0,1,1,498,7,0.0140562248995984,2,2,0,2
"AG",199312,48,1,0,0,0,703,1,0.00142247510668563,1,4,0,0
"AG",199401,49,10,3,1,10,921,24,0.0260586319218241,8,8,4,9
"AG",199402,50,0,1,0,3,728,4,0.00549450549450549,0,3,2,3
"AG",199403,51,5,4,1,22,1104,32,0.0289855072463768,11,2,3,9
"AG",199404,52,1,0,0,0,333,1,0.003003003003003,1,4,0,0
"AG",199405,53,4,0,0,1,271,5,0.018450184501845,1,2,3,1
"AG",199406,54,0,0,1,2,444,3,0.00675675675675676,2,0,1,1
"AG",199407,55,2,0,1,8,829,11,0.0132689987937274,1,2,2,3
"AG",199408,56,12,1,4,9,1333,26,0.0195048762190548,7,6,2,7
"AG",199409,57,16,2,6,6,1216,30,0.0246710526315789,9,4,4,6
"AG",199410,58,3,0,2,15,1132,20,0.0176678445229682,1,6,5,5
"AG",199411,59,12,1,7,26,1308,46,0.0351681957186544,16,1,1,16
"AG",199412,60,1,3,0,3,1148,7,0.00609756097560976,4,3,0,11
"AG",199501,61,8,1,3,9,1162,21,0.0180722891566265,4,3,1,6
"AG",199502,62,6,5,4,9,1252,24,0.0191693290734824,8,8,6,4
"AG",199503,63,17,3,1,17,1265,38,0.0300395256916996,10,8,4,18
"AG",199504,64,4,0,3,2,799,9,0.0112640801001252,4,5,2,6
"AG",199505,65,3,1,0,11,836,15,0.0179425837320574,5,0,0,2
"AG",199506,66,0,0,0,6,592,6,0.0101351351351351,1,2,1,3
"AG",199507,67,2,0,2,4,849,8,0.0094228504122497,2,0,3,13
"AG",199508,68,8,1,4,5,1045,18,0.0172248803827751,5,3,9,5
"AG",199509,69,4,7,0,11,937,22,0.0234791889007471,3,2,0,10
"AG",199510,70,2,0,3,6,718,11,0.0153203342618384,2,0,1,9
"AG",199511,71,14,1,8,21,1693,44,0.025989367985824,18,5,4,13
"AG",199512,72,1,0,8,1,544,10,0.0183823529411765,5,0,2,1
"AG",199601,73,6,0,1,3,675,10,0.0148148148148148,2,2,0,4
"AG",199602,74,0,0,0,3,835,3,0.00359281437125748,1,0,3,1
"AG",199603,75,1,0,0,6,709,7,0.00987306064880113,0,1,0,5
"AG",199604,76,2,0,0,0,540,2,0.0037037037037037,0,0,0,0
"AG",199605,77,7,0,2,5,722,14,0.0193905817174515,4,0,2,5
"AG",199606,78,0,0,2,2,457,4,0.0087527352297593,0,0,0,3
"AG",199607,79,1,0,1,3,720,5,0.00694444444444444,0,0,2,0
"AG",199608,80,18,1,3,3,1096,25,0.0228102189781022,9,1,1,1
"AG",199609,81,9,0,1,1,697,11,0.0157819225251076,5,0,1,10
"AG",199610,82,6,0,1,5,935,12,0.0128342245989305,3,1,2,10
"AG",199611,83,7,0,2,6,1031,15,0.01454898157129,7,0,4,4
"AG",199612,84,5,0,8,19,1234,32,0.0259319286871961,3,4,0,11
"AG",199701,85,5,2,3,12,1250,22,0.0176,5,0,8,15
"AG",199702,86,5,0,2,1,1070,8,0.00747663551401869,10,2,2,8
"AG",199703,87,9,0,0,7,887,16,0.0180383314543405,11,1,1,11
"AG",199704,88,1,0,6,6,1311,13,0.0099160945842868,3,3,4,3
"AG",199705,89,3,2,0,1,1082,6,0.0055452865064695,15,0,0,5
"AG",199706,90,18,3,4,2,1251,27,0.0215827338129496,11,2,5,14
"AG",199707,91,4,2,1,2,1189,9,0.00756938603868797,6,0,5,11
"AG",199708,92,2,0,2,1,1083,5,0.00461680517082179,1,2,6,4
"AG",199709,93,4,3,4,4,2315,15,0.00647948164146868,7,3,7,6
"AG",199710,94,10,2,6,10,1912,28,0.0146443514644351,9,2,2,13
"AG",199711,95,5,2,3,7,1497,17,0.0113560454241817,4,1,3,5
"AG",199712,96,6,1,4,1,1037,12,0.0115718418514947,8,2,10,6
"AG",199801,97,9,0,12,11,5427,32,0.00589644370738898,15,1,11,22
"AG",199802,98,7,2,1,8,2254,18,0.00798580301685892,9,2,3,4
"AG",199803,99,11,0,0,10,1832,21,0.0114628820960699,7,0,0,4
"AG",199804,100,5,0,0,2,1442,7,0.00485436893203883,7,0,0,7
"AG",199805,101,3,0,1,5,1387,9,0.00648882480173035,1,0,2,7
"AG",199806,102,5,0,1,0,1323,6,0.00453514739229025,3,0,0,0
"AG",199807,103,10,1,0,2,1491,13,0.00871898054996647,9,0,9,5
"AG",199808,104,2,1,1,0,852,4,0.00469483568075117,1,2,0,1
"AG",199809,105,3,2,0,5,1397,10,0.00715819613457409,2,0,13,6
"AG",199810,106,1,0,0,0,1200,1,0.000833333333333333,1,0,6,9
"AG",199811,107,9,0,1,4,948,14,0.0147679324894515,4,1,1,0
"AG",199812,108,9,0,0,3,1128,12,0.0106382978723404,10,0,2,4
"AG",199901,109,8,2,3,0,998,13,0.0130260521042084,3,0,0,11
"AG",199902,110,2,1,1,3,981,7,0.00713557594291539,6,0,0,1
"AG",199903,111,11,0,3,5,1106,19,0.0171790235081374,5,1,0,7
"AG",199904,112,9,0,2,1,1625,12,0.00738461538461538,5,0,1,5
"AG",199905,113,4,0,2,2,1125,8,0.00711111111111111,7,5,4,15
"AG",199906,114,10,5,4,0,1879,19,0.010111761575306,7,2,2,0
"AG",199907,115,14,7,5,6,3421,32,0.00935399006138556,17,11,10,3
"AG",199908,116,10,0,2,0,1601,12,0.00749531542785759,12,1,2,0
"AG",199909,117,4,2,1,0,1865,7,0.00375335120643432,5,3,1,4
"AG",199910,118,8,5,1,4,1848,18,0.00974025974025974,5,7,1,4
