"","Code","MonthYear","1","2","3","4"
"1","AG",199001,NA,NA,NA,NA
"2","AG",199002,2,0,0,0
"3","AG",199003,5,0,0,1
"4","AG",199004,3,0,0,0
"5","AG",199005,0,0,1,0
"6","AG",199006,2,0,0,0
"7","AG",199007,NA,NA,NA,NA
"8","AG",199008,NA,NA,NA,NA
"9","AG",199009,0,0,1,0
"10","AG",199010,0,0,1,0
"11","AG",199011,NA,NA,NA,NA
"12","AG",199012,NA,NA,NA,NA
"13","AG",199101,NA,NA,NA,NA
"14","AG",199102,NA,NA,NA,NA
"15","AG",199103,2,1,0,0
"16","AG",199104,NA,NA,NA,NA
"17","AG",199105,5,1,1,0
"18","AG",199106,11,2,2,0
"19","AG",199107,3,2,5,1
"20","AG",199108,1,0,2,3
"21","AG",199109,0,0,2,0
"22","AG",199110,NA,NA,NA,NA
"23","AG",199111,0,0,0,1
"24","AG",199112,10,1,4,3
"25","AG",199201,27,1,8,4
"26","AG",199202,NA,NA,NA,NA
"27","AG",199203,1,0,4,0
"28","AG",199204,5,0,0,0
"29","AG",199205,NA,NA,NA,NA
"30","AG",199206,3,0,0,2
"31","AG",199207,2,0,0,1
"32","AG",199208,NA,NA,NA,NA
"33","AG",199209,0,0,2,0
"34","AG",199210,0,1,0,0
"35","AG",199211,NA,NA,NA,NA
"36","AG",199212,1,0,0,2
"37","AG",199301,1,0,2,1
"38","AG",199302,0,0,0,2
"39","AG",199303,0,0,0,1
"40","AG",199304,0,0,0,2
"41","AG",199305,1,0,0,5
"42","AG",199306,0,0,1,0
"43","AG",199307,NA,NA,NA,NA
"44","AG",199308,NA,NA,NA,NA
"45","AG",199309,2,1,0,2
"46","AG",199310,2,0,1,0
"47","AG",199311,NA,NA,NA,NA
"48","AG",199312,NA,NA,NA,NA
"49","AG",199401,5,3,1,9
"50","AG",199402,0,1,0,3
"51","AG",199403,2,4,1,22
"52","AG",199404,1,0,0,0
"53","AG",199405,0,0,0,1
"54","AG",199406,0,0,1,2
"55","AG",199407,2,0,1,8
"56","AG",199408,11,1,4,8
"57","AG",199409,11,2,5,6
"58","AG",199410,3,0,2,15
"59","AG",199411,12,1,7,20
"60","AG",199412,1,3,0,3
"61","AG",199501,6,1,1,9
"62","AG",199502,5,3,2,9
"63","AG",199503,12,3,0,16
"64","AG",199504,4,0,3,2
"65","AG",199505,3,1,0,11
"66","AG",199506,0,0,0,6
"67","AG",199507,1,0,2,4
"68","AG",199508,8,1,2,5
"69","AG",199509,3,7,0,11
"70","AG",199510,1,0,2,6
"71","AG",199511,13,0,6,12
"72","AG",199512,1,0,7,1
"73","AG",199601,6,0,0,2
"74","AG",199602,0,0,0,3
"75","AG",199603,1,0,0,5
"76","AG",199604,2,0,0,0
"77","AG",199605,3,0,1,5
"78","AG",199606,0,0,2,2
"79","AG",199607,0,0,0,3
"80","AG",199608,2,1,1,3
"81","AG",199609,8,0,1,1
"82","AG",199610,4,0,1,3
"83","AG",199611,3,0,2,5
"84","AG",199612,1,0,5,17
"85","AG",199701,5,2,3,12
"86","AG",199702,5,0,2,1
"87","AG",199703,8,0,0,7
"88","AG",199704,1,0,2,6
"89","AG",199705,3,0,0,1
"90","AG",199706,16,2,2,2
"91","AG",199707,2,2,1,2
"92","AG",199708,2,0,2,0
"93","AG",199709,4,2,2,4
"94","AG",199710,10,2,3,10
"95","AG",199711,5,2,3,7
"96","AG",199712,4,1,4,1
"97","AG",199801,7,0,11,11
"98","AG",199802,6,2,1,8
"99","AG",199803,11,0,0,10
"100","AG",199804,5,0,0,2
"101","AG",199805,3,0,1,5
"102","AG",199806,1,0,1,0
"103","AG",199807,10,1,0,1
"104","AG",199808,2,1,0,0
"105","AG",199809,3,1,0,5
"106","AG",199810,1,0,0,0
"107","AG",199811,9,0,0,4
"108","AG",199812,9,0,0,3
"109","AG",199901,7,2,3,0
"110","AG",199902,2,0,1,3
"111","AG",199903,7,0,1,5
"112","AG",199904,9,0,2,1
"113","AG",199905,4,0,2,1
"114","AG",199906,6,5,4,0
"115","AG",199907,10,6,5,6
"116","AG",199908,10,0,2,0
"117","AG",199909,4,2,1,0
"118","AG",199910,4,5,0,4
"119","AG",199911,4,5,4,4
"120","AG",199912,9,4,2,7
"121","AG",200001,29,39,16,32
"122","AG",200002,2,5,0,14
"123","AG",200003,5,2,0,3
"124","AG",200004,11,0,2,4
"125","AG",200005,5,1,1,10
"126","AG",200006,4,0,1,0
"127","AG",200007,3,2,0,4
"128","AG",200008,0,2,0,2
"129","AG",200009,5,1,0,2
"130","AG",200010,1,2,0,3
"131","AG",200011,3,0,0,2
"132","AG",200012,0,1,1,9
"133","AG",200101,2,0,6,3
"134","AG",200102,2,0,6,1
"135","AG",200103,2,3,5,3
"136","AG",200104,3,1,7,8
"137","AG",200105,2,3,7,1
"138","AG",200106,0,0,6,13
"139","AG",200107,8,4,3,0
"140","AG",200108,2,1,7,0
"141","AG",200109,0,5,1,7
"142","AG",200110,3,0,2,1
"143","AG",200111,3,0,2,4
"144","AG",200112,1,0,0,0
"145","AG",200201,1,1,0,2
"146","AG",200202,1,1,0,5
"147","AG",200203,4,1,0,5
"148","AG",200204,0,0,0,4
"149","AG",200205,2,3,0,3
"150","AG",200206,2,0,0,2
"151","AG",200207,1,7,0,6
"152","AG",200208,0,0,0,6
"153","AG",200209,2,0,0,3
"154","AG",200210,3,0,0,1
"155","AG",200211,4,0,0,0
"156","AG",200212,5,0,2,2
"157","AG",200301,3,0,2,7
"158","AG",200302,1,0,1,3
"159","AG",200303,1,0,0,2
"160","AG",200304,2,0,0,3
"161","AG",200305,12,1,0,11
"162","AG",200306,3,0,0,2
"163","AG",200307,1,0,2,0
"164","AG",200308,3,0,0,1
"165","AG",200309,4,2,0,0
"166","AG",200310,10,2,1,2
"167","AG",200311,0,2,1,1
"168","AG",200312,3,1,2,2
"169","AG",200401,1,1,0,2
"170","AG",200402,2,1,1,3
"171","AG",200403,2,1,0,2
