GLOBALEVENTID,MonthYear,EventCode,QuadClass,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,
44590004,200301,195,4,UG,3.27833,32.8867,
44593981,200301,037,1,IV,7.69385,-5.03031,
44591308,200301,043,1,UG,1.0,32.0,
44590488,200301,141,3,SU,15.5881,32.5342,
44590016,200301,193,4,UG,2.77457,32.299,
44590015,200301,190,4,UG,3.05,33.2167,
44590014,200301,193,4,UG,2.6232,32.3374,
44590013,200301,190,4,UG,3.05,33.2167,
44590012,200301,190,4,UG,3.05,33.2167,
44590011,200301,182,4,UG,3.27833,32.8867,
44590010,200301,181,4,UG,2.6232,32.3374,
44590009,200301,181,4,UG,2.77457,32.299,
44590008,200301,181,4,UG,2.77457,32.299,
44590007,200301,080,2,UG,2.77457,32.299,
44590006,200301,051,1,UG,2.6232,32.3374,
44590005,200301,043,1,UG,1.0,32.0,
44593982,200301,037,1,LI,6.5,-9.5,
44590003,200301,195,4,UG,2.77457,32.299,
44590002,200301,195,4,UG,2.77457,32.299,
44590001,200301,193,4,UG,2.77457,32.299,
44590000,200301,193,4,UG,2.77457,32.299,
44589998,200301,030,1,IV,7.75785,-5.0424,
44589997,200301,030,1,IV,7.75785,-5.0424,
44589996,200301,012,1,KE,0.520356,35.2699,
44589995,200301,046,1,SU,15.0,30.0,
44589992,200301,190,4,UG,3.05,33.2167,
44589983,200301,0831,2,IV,4.74851,-6.6363,
44589982,200301,0831,2,IV,5.34111,-4.02806,
44589976,200301,0356,1,IV,4.74851,-6.6363,
44589975,200301,0356,1,IV,5.34111,-4.02806,
44589962,200301,110,3,IV,4.92035,-7.49562,
44598809,200301,043,1,LI,6.5,-9.5,
44598851,200301,1124,3,AG,36.7631,3.05056,
44598836,200301,0871,2,IV,7.69385,-5.03031,
44598835,200301,154,4,IV,4.74851,-6.6363,
44598834,200301,072,2,IV,7.69385,-5.03031,
44598833,200301,046,1,IV,7.69385,-5.03031,
44598829,200301,042,1,IV,7.69385,-5.03031,
44598828,200301,040,1,IV,7.69385,-5.03031,
44598827,200301,036,1,IV,7.69385,-5.03031,
44598825,200301,110,3,SF,-23.9167,30.2833,
44598817,200301,112,3,LI,6.5,-9.5,
44598815,200301,110,3,LI,6.5,-9.5,
44598814,200301,110,3,SF,-23.9167,30.2833,
44598813,200301,084,2,UG,1.0,32.0,
44598812,200301,0831,2,LI,6.5,-9.5,
44598811,200301,0831,2,IV,7.69385,-5.03031,
44589960,200301,042,1,IV,5.34111,-4.02806,
44598805,200301,036,1,IV,7.69385,-5.03031,
44598804,200301,0356,1,LI,6.5,-9.5,
44598803,200301,027,1,IV,7.69385,-5.03031,
44598801,200301,010,1,IV,7.69385,-5.03031,
44598800,200301,010,1,IV,5.34111,-4.02806,
44598081,200301,112,3,MZ,-18.25,35.0,
44598080,200301,020,1,MZ,-18.25,35.0,
44598079,200301,130,3,MZ,-18.25,35.0,
44593990,200301,080,2,IV,7.69385,-5.03031,
44593988,200301,046,1,IV,7.69385,-5.03031,
44593987,200301,046,1,IV,7.69385,-5.03031,
44593986,200301,046,1,IV,7.69385,-5.03031,
44593985,200301,110,3,IV,7.69385,-5.03031,
44593984,200301,051,1,IV,6.81667,-5.28333,
44578610,200301,057,1,BY,-3.37611,29.36,
44589908,200301,010,1,UG,2.96667,32.6,
44589821,200301,030,1,EG,30.05,31.25,
44583078,200301,190,4,CF,-1.0,15.0,
44579771,200301,190,4,UG,3.23667,33.0931,
44579770,200301,190,4,UG,3.23667,33.0931,
44579123,200301,1123,3,CG,-4.32972,15.315,
44579122,200301,1123,3,CG,4.279,21.0028,
44579121,200301,045,1,CT,4.36667,18.5833,
44578631,200301,190,4,UG,3.23667,33.0931,
44578630,200301,190,4,UG,0.315556,32.5656,
44578627,200301,046,1,KE,-1.51667,37.2667,
44578618,200301,190,4,UG,3.23667,33.0931,
44578617,200301,190,4,UG,2.77457,32.299,
44578616,200301,036,1,IV,8.0,-5.0,
44578615,200301,190,4,LI,6.5,-9.5,
44589909,200301,010,1,UG,2.77457,32.299,
44578609,200301,046,1,SU,15.5881,32.5342,
44578608,200301,046,1,SU,15.5881,32.5342,
44578607,200301,036,1,SU,15.5881,32.5342,
44578606,200301,036,1,IV,7.75785,-5.0424,
44578605,200301,036,1,SU,15.5881,32.5342,
44578604,200301,0356,1,IV,7.75785,-5.0424,
44578603,200301,0356,1,IV,5.34111,-4.02806,
44578601,200301,190,4,IV,7.69385,-5.03031,
44578600,200301,192,4,IV,5.34111,-4.02806,
44578598,200301,190,4,IV,7.69385,-5.03031,
44578595,200301,111,3,IV,5.34111,-4.02806,
44578590,200301,180,4,IV,7.75785,-5.0424,
44578589,200301,1384,3,IV,7.75785,-5.0424,
44578588,200301,012,1,IV,7.49076,-5.87952,
44589940,200301,190,4,IV,4.74851,-6.6363,
44589959,200301,190,4,IV,5.34111,-4.02806,
44589958,200301,190,4,IV,5.34111,-4.02806,
44589957,200301,0871,2,IV,7.69385,-5.03031,
44589956,200301,072,2,IV,4.74851,-6.6363,
44589955,200301,057,1,IV,7.69385,-5.03031,
44589954,200301,043,1,IV,7.69385,-5.03031,
44589953,200301,043,1,IV,7.69385,-5.03031,
44589952,200301,042,1,IV,5.34111,-4.02806,
44589951,200301,042,1,IV,5.34111,-4.02806,
44589947,200301,057,1,BY,-3.37611,29.36,
44589946,200301,057,1,BY,-3.37611,29.36,
44589945,200301,057,1,BY,-3.37611,29.36,
44589944,200301,193,4,UG,2.6232,32.3374,
44589941,200301,190,4,IV,4.74851,-6.6363,
44598852,200301,1124,3,AG,36.25,5.0,
44589935,200301,145,3,UG,2.6232,32.3374,
44589934,200301,145,3,UG,2.89583,32.4512,
44589933,200301,145,3,UG,2.77457,32.299,
44589932,200301,145,3,UG,2.96667,32.6,
44589929,200301,0871,2,IV,7.69385,-5.03031,
44589927,200301,0831,2,IV,5.34111,-4.02806,
44589925,200301,057,1,IV,7.69385,-5.03031,
44589924,200301,051,1,UG,2.6232,32.3374,
44589921,200301,043,1,IV,7.69385,-5.03031,
44589920,200301,043,1,IV,7.69385,-5.03031,
44589916,200301,041,1,IV,4.74851,-6.6363,
44589913,200301,036,1,IV,4.74851,-6.6363,
44589912,200301,036,1,IV,5.34111,-4.02806,
44589910,200301,010,1,UG,2.89583,32.4512,
44622181,200301,173,4,IV,4.92035,-7.49562,
44622207,200301,190,4,IV,6.74202,-7.34918,
44622206,200301,190,4,IV,6.74202,-7.34918,
44622204,200301,190,4,IV,7.69385,-5.03031,
44622203,200301,190,4,IV,7.69385,-5.03031,
44622201,200301,042,1,IV,6.74202,-7.34918,
44622197,200301,193,4,BY,-3.6604,30.0119,
44622196,200301,010,1,IV,4.74851,-6.6363,
44622195,200301,010,1,IV,4.74851,-6.6363,
44622191,200301,190,4,CF,-6.06667,12.4,
44622190,200301,190,4,CF,-6.06667,12.4,
44622189,200301,046,1,SF,-25.7069,28.2294,
44622188,200301,0356,1,IV,6.74202,-7.34918,
44622187,200301,192,4,IV,4.92035,-7.49562,
44622185,200301,190,4,IV,6.74202,-7.34918,
44622184,200301,190,4,IV,7.69385,-5.03031,
44622209,200301,192,4,IV,7.69385,-5.03031,
44622180,200301,010,1,IV,4.74851,-6.6363,
44622178,200301,190,4,IV,6.74202,-7.34918,
44622177,200301,190,4,BY,-3.37611,29.36,
44622162,200301,051,1,IV,7.69385,-5.03031,
44622160,200301,0356,1,IV,7.69385,-5.03031,
44622159,200301,030,1,IV,5.34111,-4.02806,
44622156,200301,010,1,IV,7.69385,-5.03031,
44622075,200301,010,1,EG,30.05,31.25,
44622072,200301,040,1,EG,30.05,31.25,
44622069,200301,1831,4,NI,10.0,8.0,
44622068,200301,1831,4,NI,10.0,8.0,
44620916,200301,111,3,MZ,-25.9653,32.5892,
