"Code","MonthYear","VC","MC","VV","MV"
"AG",199001,0,0,0,0
"AG",199002,2,0,0,0
"AG",199003,5,0,0,1
"AG",199004,3,0,0,0
"AG",199005,6,0,1,0
"AG",199006,2,0,0,0
"AG",199007,0,0,0,0
"AG",199008,1,0,0,0
"AG",199009,0,0,1,0
"AG",199010,0,0,1,0
"AG",199011,4,0,0,0
"AG",199012,0,0,0,0
"AG",199101,0,0,0,0
"AG",199102,0,0,0,0
"AG",199103,2,1,0,0
"AG",199104,0,0,0,0
"AG",199105,5,1,2,0
"AG",199106,12,3,3,0
"AG",199107,3,2,6,1
"AG",199108,1,0,2,3
"AG",199109,3,0,4,0
"AG",199110,0,0,3,0
"AG",199111,0,0,0,1
"AG",199112,12,1,4,3
"AG",199201,30,1,9,5
"AG",199202,0,0,0,0
"AG",199203,1,0,4,0
"AG",199204,6,0,0,0
"AG",199205,0,0,0,0
"AG",199206,4,0,0,2
"AG",199207,3,0,0,1
"AG",199208,0,0,0,0
"AG",199209,0,0,2,0
"AG",199210,0,1,0,0
"AG",199211,0,0,0,0
"AG",199212,1,0,0,2
"AG",199301,1,0,2,1
"AG",199302,0,0,1,2
"AG",199303,0,0,0,1
"AG",199304,1,0,0,2
"AG",199305,1,0,0,5
"AG",199306,0,0,1,0
"AG",199307,2,0,0,0
"AG",199308,0,0,0,0
"AG",199309,2,1,0,2
"AG",199310,2,0,1,0
"AG",199311,5,0,1,1
"AG",199312,1,0,0,0
"AG",199401,10,3,1,10
"AG",199402,0,1,0,3
"AG",199403,5,4,1,22
"AG",199404,1,0,0,0
"AG",199405,4,0,0,1
"AG",199406,0,0,1,2
"AG",199407,2,0,1,8
"AG",199408,12,1,4,9
"AG",199409,16,2,6,6
"AG",199410,3,0,2,15
"AG",199411,12,1,7,26
"AG",199412,1,3,0,3
"AG",199501,8,1,3,9
"AG",199502,6,5,4,9
"AG",199503,17,3,1,17
"AG",199504,4,0,3,2
"AG",199505,3,1,0,11
"AG",199506,0,0,0,6
"AG",199507,2,0,2,4
"AG",199508,8,1,4,5
"AG",199509,4,7,0,11
"AG",199510,2,0,3,6
"AG",199511,14,1,8,21
"AG",199512,1,0,8,1
"AG",199601,6,0,1,3
"AG",199602,0,0,0,3
"AG",199603,1,0,0,6
"AG",199604,2,0,0,0
"AG",199605,7,0,2,5
"AG",199606,0,0,2,2
"AG",199607,1,0,1,3
"AG",199608,18,1,3,3
"AG",199609,9,0,1,1
"AG",199610,6,0,1,5
"AG",199611,7,0,2,6
"AG",199612,5,0,8,19
"AG",199701,5,2,3,12
"AG",199702,5,0,2,1
"AG",199703,9,0,0,7
"AG",199704,1,0,6,6
"AG",199705,3,2,0,1
"AG",199706,18,3,4,2
"AG",199707,4,2,1,2
"AG",199708,2,0,2,1
"AG",199709,4,3,4,4
"AG",199710,10,2,6,10
"AG",199711,5,2,3,7
"AG",199712,6,1,4,1
"AG",199801,9,0,12,11
"AG",199802,7,2,1,8
"AG",199803,11,0,0,10
"AG",199804,5,0,0,2
"AG",199805,3,0,1,5
"AG",199806,5,0,1,0
"AG",199807,10,1,0,2
"AG",199808,2,1,1,0
"AG",199809,3,2,0,5
"AG",199810,1,0,0,0
"AG",199811,9,0,1,4
"AG",199812,9,0,0,3
"AG",199901,8,2,3,0
"AG",199902,2,1,1,3
"AG",199903,11,0,3,5
"AG",199904,9,0,2,1
"AG",199905,4,0,2,2
"AG",199906,10,5,4,0
"AG",199907,14,7,5,6
"AG",199908,10,0,2,0
"AG",199909,4,2,1,0
"AG",199910,8,5,1,4
"AG",199911,5,5,4,4
"AG",199912,12,5,3,7
"AG",200001,29,43,16,33
"AG",200002,2,5,0,17
"AG",200003,5,2,0,3
"AG",200004,11,0,2,5
"AG",200005,5,1,1,10
"AG",200006,4,0,2,1
"AG",200007,4,2,1,4
"AG",200008,0,2,1,3
"AG",200009,5,1,0,3
"AG",200010,1,2,0,3
"AG",200011,5,0,0,2
"AG",200012,1,1,1,9
"AG",200101,2,0,7,3
"AG",200102,4,0,6,2
"AG",200103,2,3,6,3
"AG",200104,3,1,7,8
"AG",200105,2,3,7,1
"AG",200106,0,0,7,13
"AG",200107,8,4,3,0
"AG",200108,3,1,7,1
"AG",200109,0,5,2,7
"AG",200110,5,0,2,1
"AG",200111,3,0,3,5
"AG",200112,1,0,0,0
"AG",200201,1,2,0,2
"AG",200202,2,1,0,5
"AG",200203,4,1,0,5
"AG",200204,0,0,0,4
"AG",200205,2,3,0,3
"AG",200206,2,0,0,2
"AG",200207,1,9,0,6
"AG",200208,0,0,0,6
"AG",200209,2,0,0,3
"AG",200210,3,0,0,1
"AG",200211,4,0,1,0
"AG",200212,7,0,2,3
"AG",200301,3,0,2,7
"AG",200302,1,0,1,4
"AG",200303,1,0,0,2
"AG",200304,2,0,0,3
"AG",200305,12,1,0,11
"AG",200306,9,0,0,2
"AG",200307,1,0,2,0
"AG",200308,3,0,0,2
"AG",200309,4,2,0,0
"AG",200310,15,2,2,4
"AG",200311,0,3,1,1
"AG",200312,3,1,2,2
