"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
29377,183,"COG","Republic of Congo",1,"Bouenza",1,"Boko-Songho","","","District","District"
29378,183,"COG","Republic of Congo",1,"Bouenza",2,"Loudima","","","District","District"
29379,183,"COG","Republic of Congo",1,"Bouenza",3,"Madingou","","","District","District"
29380,183,"COG","Republic of Congo",1,"Bouenza",4,"Mfouati","","","District","District"
29381,183,"COG","Republic of Congo",1,"Bouenza",5,"Mouyondzi","","","District","District"
29382,183,"COG","Republic of Congo",1,"Bouenza",6,"Nkayi District","","","District","District"
29383,183,"COG","Republic of Congo",2,"Cuvette-Ouest",7,"Ewo","","","District","District"
29384,183,"COG","Republic of Congo",2,"Cuvette-Ouest",8,"Kéllé","","","District","District"
29385,183,"COG","Republic of Congo",2,"Cuvette-Ouest",9,"Mbomo","","","District","District"
29386,183,"COG","Republic of Congo",3,"Cuvette",10,"Boundji","","","District","District"
29387,183,"COG","Republic of Congo",3,"Cuvette",11,"Loukoléla","","Loukela","District","District"
29388,183,"COG","Republic of Congo",3,"Cuvette",12,"Makoua","","","District","District"
29389,183,"COG","Republic of Congo",3,"Cuvette",13,"Mossaka","","","District","District"
29390,183,"COG","Republic of Congo",3,"Cuvette",14,"Okoyo","","","District","District"
29391,183,"COG","Republic of Congo",3,"Cuvette",15,"Owando","","","District","District"
29392,183,"COG","Republic of Congo",4,"Kouilou",16,"Kakamoeka","","","District","District"
29393,183,"COG","Republic of Congo",4,"Kouilou",17,"Loandjili","","Pointe Noire","District","District"
29394,183,"COG","Republic of Congo",4,"Kouilou",18,"Madingo-Kayes","","","District","District"
29395,183,"COG","Republic of Congo",4,"Kouilou",19,"Mvouti","","","District","District"
29396,183,"COG","Republic of Congo",5,"Lékoumou",20,"Bambama","","","District","District"
29397,183,"COG","Republic of Congo",5,"Lékoumou",21,"Komono","","","District","District"
29398,183,"COG","Republic of Congo",5,"Lékoumou",22,"Sibiti","","","District","District"
29399,183,"COG","Republic of Congo",5,"Lékoumou",23,"Zanaga","","","District","District"
29400,183,"COG","Republic of Congo",6,"Likouala",24,"Dongou","","","District","District"
29401,183,"COG","Republic of Congo",6,"Likouala",25,"Epéna","","","District","District"
29402,183,"COG","Republic of Congo",6,"Likouala",26,"Impfondo","","","District","District"
29403,183,"COG","Republic of Congo",7,"Niari",27,"Divénié","","Divnie","District","District"
29404,183,"COG","Republic of Congo",7,"Niari",28,"Kibangou","","","District","District"
29405,183,"COG","Republic of Congo",7,"Niari",29,"Kimongo","","","District","District"
29406,183,"COG","Republic of Congo",7,"Niari",30,"Louvakou (Loubomo)","","Louvakou","District","District"
29407,183,"COG","Republic of Congo",7,"Niari",31,"Mayoko","","","District","District"
29408,183,"COG","Republic of Congo",7,"Niari",32,"Mossendjo","","","District","District"
29409,183,"COG","Republic of Congo",8,"Plateaux",33,"Abala","","","District","District"
29410,183,"COG","Republic of Congo",8,"Plateaux",34,"Djambala","","","District","District"
29411,183,"COG","Republic of Congo",8,"Plateaux",35,"Gamboma","","","District","District"
29412,183,"COG","Republic of Congo",8,"Plateaux",36,"Lékana","","","District","District"
29413,183,"COG","Republic of Congo",9,"Pool",37,"Boko","","","District","District"
29414,183,"COG","Republic of Congo",9,"Pool",38,"Kindamba","","","District","District"
29415,183,"COG","Republic of Congo",9,"Pool",39,"Kinkala","","","District","District"
29416,183,"COG","Republic of Congo",9,"Pool",40,"Mayama","","","District","District"
29417,183,"COG","Republic of Congo",9,"Pool",41,"Mindouli","","","District","District"
29418,183,"COG","Republic of Congo",9,"Pool",42,"Ngabé","","","District","District"
29419,183,"COG","Republic of Congo",9,"Pool",43,"Ngamaba (Brazzaville)","","","District","District"
29420,183,"COG","Republic of Congo",10,"Sangha",44,"Ouesso","","","District","District"
29421,183,"COG","Republic of Congo",10,"Sangha",45,"Sembé","","","District","District"
29422,183,"COG","Republic of Congo",10,"Sangha",46,"Souanké","","","District","District"
